title,link,content
"금감원 ""정보보안 사고 발생 시 엄정 검사·제재""",https://n.news.naver.com/mnews/article/001/0015761647,"자본시장 IT 및 정보보안 안전성 제고 간담회 금융감독원 [촬영 안 철 수] 2025.8 (서울=연합뉴스) 강수련 기자 = 금융감독원이 증권업계에 정보보안 종합대책에 따라 엄정 검사·제재를 하겠다고 강조했다. 금감원은 25일 증권사 최고정보책임자( CIO )·최고보안책임자( CISO ), 금융투자협회 등과 함께 자본시장 정보기술( IT ) 및 정보보안 안전성 제고를 위한 4분기 정례 간담회를 개최했다. 금감원은 증권사에 자율점검·시정과 내부통제 강화 등 종합대책 준수를 독려하고 전산사고 관련 적극적인 투자자 피해보상과 재발 방지 대책 마련을 당부했다. 또 한국거래소의 전산사고를 계기로 마련된 통합 비상대응체계( BCP )의 주요 내용을 설명했다. 일시적 장애가 발생하거나 장애로 인해 거래가 정지되는 경우 등 대응 방식이 포함됐다. 금감원은 전자금융사고 및 개인정보 유출 관련 반복적인 위규 사항, 주요 제재내용과 유의 사항도 안내했다. 증권사와 금융보안원 등은 종합대책 준수현황, 제도개선 필요 사항, 사이버 위협 동향 등을 발표했다. 금감원은 향후 전자금융거래 안정성 제고 방안을 이행하는 한편, 자본시장 IT 인프라의 안전성 제고·투자자 보호를 위해 적극적으로 대응할 계획이다. training @ yna.co.kr"
"금감원 ""증권사 전산사고 엄정 검사·제재""…IT·정보보안 간담회",https://n.news.naver.com/mnews/article/003/0013620831,"[서울=뉴시스]이지민 기자 = 증권사의 전산사고가 끊이지 않고 발생하는 가운데 금융감독원이 자본시장 IT 및 정보보안에 대한 엄정한 검사·제재 기조를 재차 강조했다. 금감원은 25일 서울 여의도 금융투자협회에서 증권사 IT· 정보보안 임원 및 유관기관 관계자 약 150명을 대상으로 '자본시장 IT 및 정보보안 안전성 제고' 정례 간담회를 개최했다. 금감원은 이날 간담회에서 증권업계에 자율점검 등 IT· 정보보안 종합대책을 철저한 준수하고, 전산사고 발생 시 적극적인 투자자 피해보상과 재발 방지 대책 마련을 주문했다. 특히 프로그램 오류 등 빈번한 사고 유형에 대해 원인 분석과 대책수입을 요청했다. 또 지난 3월 발생한 한국거래소( KRX ) 전산사고를 계기로 관계기관 태스크포스( TF )를 통해 마련한 '자본시장 통합 업무지속성계획( BCP )'의 주요 내용을 공유했다. 통합 BCP 는 KRX 와 대체거래소인 넥스트레이드( NXT ) 가운데 한 곳에 장애가 발생하더라도 투자자 거래가 중단되지 않도록 대응 체계를 표준화한 것이 골자다. 특정 집행시장에 일시적 장애가 발생할 경우, KRX 와 NXT 는 비상연락망을 구축해 증권사, 투자자 등에 즉시 비상 상황을 알려야 한다. 증권사는 장애 발생 통지를 받는 즉시 투자자에게 장애 상황과 주문 집행 프로세스를 안내해야 한다. 장애가 장시간 이어지면 KRX·NXT 는 회원사에 거래정지 사실을 통지하고, 정상적으로 작동하는 다른 시장으로 거래가 몰릴 수 있도록 호가 접수 거부 등 통제 조치를 시행한다. 증권사는 SOR (주문배분시스템)을 활용해 정상 집행 시장으로 주문을 전송해야 한다. 아울러 이 같은 주문집행 방식을 각 사의 BCP 문서와 최선집행기준 설명서에 명확하게 기재하도록 했다. 금감원 관계자는 ""증권업계 등과의 긴밀하고 지속적인 소통과 협업을 통해 전자금융거래 안전성 제고 방안을 원활히 이행하는 한편, 자본시장 IT 인프라의 안전성 제고 및 투자자 보호를 위해 보다 적극적인 대응을 지속 추진해 나갈 예정""이라고 전했다."
"금융의 기준을 바꾼 여정, 사회로 확장…'토스임팩트' 공개",https://n.news.naver.com/mnews/article/003/0013620825,"토스의 사회적 가치체계 공언 홈페이지와 뮤직비디오 공개 [서울=뉴시스] 토스의 사회적 가치 체계 토스임팩트 이미지. (사진=토스 제공) 2025.11.25. photo @ newsis.com *재판매 및 DB 금지 [서울=뉴시스]권안나 기자 = 토스가 사회적 가치 실천을 위한 체계 '토스임팩트'를 공개했다고 25일 밝혔다. 토스임팩트 공식 홈페이지와 뮤직비디오 스펙트럼( Spectrum )’을 선보이며, 지난 10년간 토스가 만들어온 혁신과 변화의 여정을 조명한다. 토스임팩트는 토스의 사회적 가치 체계를 뜻하는 말로, 기술과 서비스의 혁신을 넘어 사회 전반의 긍정적 변화를 만들어가는 실천을 하나의 흐름으로 묶은 것이다. 지난 2015년 '간편 송금'으로 혁신의 여정을 시작한 토스는 업계 최초 '무료 신용점수 조회 서비스'를 도입했고, 70여개 금융사의 조건을 한눈에 비교할 수 있는 '대출 비교 서비스'를 선보였다. 또 '평생 무료 송금'과 '평생 무료 환전' 정책으로 누구나 쉽고 간편하게 금융을 이용할 수 있는 세상을 만들었다. 홈페이지는 토스가 실천해온 사회적 가치 실천의 세 가지 축을 중심으로 구성됐다. '모두의 경험'에서는 나이·국적·환경의 경계를 넘어 누구나 편리하게 금융을 이용할 수 있는 사례를 담았다. '안전한 기술'에서는 ▲개인정보 안심리포트 ▲사기의심 사이렌 ▲피싱제로 ▲안심보상제 등 보안과 개인정보 보호의 원칙을, '성장의 토대'에서는 파트너와 함께 성장하는 기술 생태계를 다룬다. 함께 공개된 뮤직비디오 스펙트럼은 국대 대표 인디밴드 아도이, 독창적이고 감각적인 비주얼로 각광받는 디렉터 이호수와 일러스트레이터 머레이크랩 등 총 16인의 비주얼 아티스트가 참여해 ""우리가 어떤 세상에서 살고 싶은가""라는 질문을 감각적으로 풀어냈다. '확산'을 주요 키워드로 시각과 사운드가 어우러진 비주얼 심포니를 완성했다. 음악은 서로 다른 빛과 감정이 하나의 흐름으로 이어지는 여정을 표현하며, 변화와 공존의 메시지를 담았다. 뮤직비디오는 토스 공식 유튜브를 통해서도 볼 수 있다. 토스 관계자는 ""토스임팩트는 단순한 캠페인이 아니라, 기술로 사회의 기준을 새롭게 써 내려가는 실천의 여정""이라며 ""앞으로도 모두에게 쉽고 안전한 금융, 그리고 함께 성장하는 기술 생태계를 만들어 가는데 노력하겠다""고 말했다."
"환율, 美 금리 인하 기대·당국 경계에 4.7원 하락…1,472.4원",https://n.news.naver.com/mnews/article/001/0015761633,"코스피 소폭 상승하며 마감 (서울=연합뉴스) 신현우 기자 = 25일 서울 중구 하나은행 본점 딜링룸에서 딜러들이 업무를 보고 있다. 이날 코스피는 전 거래일보다 11.72p(0.30%) 오른 3,857.78로 마감했다. 원/달러 환율은 4.7원 내린 1,472.4원, 코스닥지수는 0.41p(0.05%) 내린 856.03으로 장을 마쳤다. 2025.11.25 nowwego @ yna.co.kr (서울=연합뉴스) 민선희 기자 = 원/달러 환율은 25일 미국 금리 인하 기대와 당국 개입 경계감 속에 1,470원대 초반으로 하락했다. 이날 서울 외환시장에서 미국 달러화 대비 원화 환율의 주간 거래 종가(오후 3시 30분 기준)는 전일보다 4.7원 내린 1,472.4원이다. 환율은 1.9원 낮은 1,475.2원으로 출발한 뒤 1,470.6∼1,477.0원에서 등락했다. 미국 연방준비제도( Fed· 연준) 금리 인하 기대가 확산한 가운데 위험선호 심리가 일부 회복됐다. 코스피는 전일보다 11.72포인트(0.30%) 오른 3,857.78로 장을 마쳤다. 외국인은 이날 유가증권시장에서 약 1천160억원을 순매수했다. 외환당국이 거듭 환율 안정 의지를 밝히고 있는 점도 환율 하락 요인이다. 기획재정부는 전날 보건복지부·한국은행·국민연금과 국민연금의 해외투자 확대 과정에서의 외환시장 영향 등을 점검하기 위한 4자 협의체를 구성했다면서 첫 회의를 개시했다고 밝혔다. 외환당국은 최근 대형 증권사 외환 담당자들과도 회의를 진행한 것으로 알려졌다. 당국은 증권사들이 오전 9시 개장 직후 해외주식 거래 관련 환전 주문을 한꺼번에 처리하면서 장 초반 환율 변동성이 커질 수 있다는 점을 우려한 것으로 전해졌다. 주요 6개국 통화 대비 달러 가치를 나타내는 달러인덱스는 전일보다 0.06% 오른 100.204다. 오후 3시 30분 기준 원/엔 재정환율은 100엔당 939.36원이다. 전일 오후 3시 30분 기준가인 943.08원보다 3.72원 하락했다. 엔/달러 환율은 0.07% 오른 156.739엔이다. ssun @ yna.co.kr"
"주금공, 12월 보금자리론 금리 동결…연 3.65~3.95%",https://n.news.naver.com/mnews/article/018/0006171418,"[이데일리 이수빈 기자] 한국주택금융공사가 25일 보금자리론의 12월 금리를 동결한다고 밝혔다. 보금자리론은 장기·고정금리·분할상환 주택담보대출 상품이다. 이번 금리 동결에 따라 ‘아낌 e- 보금자리론’ 기준 연 3.65%(10년) ~3.95 %(50년)가 적용된다. 저소득청년, 신혼가구, 사회적배려층(장애인·한부모가정 등) 및 전세사기피해자 등이 추가 우대금리(최대 1.0%포인트)를 적용받을 경우 최저 연 2.65%(10년) ~2.95 %(50년) 금리가 적용된다."
"""우린 ISA 못하는데""…상호금융, 유일한 '비과세 혜택' 축소되나",https://n.news.naver.com/mnews/article/008/0005282911,"27일 국회에서 상호금융 비과세 혜택 개편안 논의 상호금융 유일한 비과세 혜택 축소 위기 ISA 등 취급하는 시중은행과 형평성 맞지 않다는 지적 ISA 와 상호금융 비과세예탁금 비교/그래픽=이지혜 농·수·신협과 새마을금고 등 상호금융 비과세 혜택 축소 논의가 본격화 하면서 상호금융권에서는 '업권 간 형평성'을 이유로 현행 제도의 유지가 필요하다고 강조하고 있다. 시중은행 등에는 ISA (개인종합자산관리계좌) 등 다양한 비과세·절세 상품이 존재하지만 상호금융업권이 취급할 수 있는 비과세 상품은 3000만원 한도의 비과세 예탁금이 유일해서다. 비과세혜택이 축소될 경우 결국 지방금융 역할이 후퇴할 수 있다는 우려도 나온다. 25일 금융권에 따르면 오는 27일 국회 기획재정위원회 산하 조세소위 소소위에서 상호금융 예탁금 비과세에 소득 기준을 적용한다는 내용의 세제개편안을 논의할 예정이다. 이날 논의된 세재개편안은 이튿날 열리는 조세소위 전체회의 등을 거친 후 다음 달 국회 본회의에 올라간다. 현재 농·수·신협과 새마을금고 등 상호금융 예탁금에는 비과세 혜택이 주어진다. 최대 3000만원 예금에서 발생하는 이자에는 이자소득세 15.4%가 적용되지 않고 농어촌특별세 1.4%만 부과된다. 이같은 예탁금 비과세 특례는 농·어민과 서민을 지원한다는 취지에서 1976년 도입됐다. 1995년 일몰제(자동종료) 전환 이후 10차례 일몰 기한이 연장됐다. 정부의 세제개편안에는 총급여 5000만원을 넘는 상호금융 준조합원의 예금에 내년부터 5% 저율 과세를 부과한다는 내용이 담겼다. 2027년 이후 가입자에는 9% 세율이 적용된다. 총급여 5000만원이 넘지 않거나 상호금융 조합원이라면 기존처럼 비과세 혜택이 적용된다. 상호금융은 업권 간 형평성 차원에서 예탁금 비과세 혜택이 유지돼야 한다는 입장이다. 현재 상호금융에서 취급할 수 있는 비과세 상품은 비과세 예탁금이 유일하다. 시중은행이 ISA 와 IRP 같은 다양한 비과세·절세 상품을 갖춘 것과 대조적이다. 의무 가입기간 3년을 넘기면 ISA 비과세 한도를 매년 100만원씩 추가한다는 내용의 조세특례제한법 개정안도 발의된 상태다. 상호금융은 그러나  '자본시장과 금융투자업에 관한 법률'에 따른 금융투자업자가 아니어서 ISA 등 절세 상품을 판매할 수도 없다. 내년부터 비과세 혜택을 받지 못하는 상호금융 준조합원은 자연스럽게 시중은행이나 증권사의 ISA , IRP 등 절세 상품으로 자금을 이동시킬 가능성이 크다. 비과세 혜택 축소로 준조합원이 이탈하면 상호금융업권은 막대한 손실을 볼 것으로 예상된다. 업계에 따르면 5000만원 초과 준조합원에 저율 과세가 적용될 경우 농협에서만 최소 5120억원에서 최대 2조1800억원의 예수금이 이탈할 것으로 추정된다. 이로 인해 전국 농·축협 손익은 최소 109억원에서 최대 464억원까지 감소할 것으로 분석된다. 상호금융권의 비과세 혜택 축소가 지방소멸의 위기에서 오히려 지역 경제를 위축시킬 수 있다는 우려도 나온다. 상호금융의 수신 감소가 대출 여력 축소로 이어져 지역 내 서민과 소상공인, 중소기업의 대출 이자 부담이 커질 수 있다는 것이다. 이는 이재명 정부가 추진하고 있는 지방 우대 정책에도 역행한다. 특히 상호금융의 수익기반이 약화되면 지역사회 공헌 및 지역인프라  투자 여력도 감소될 수 밖에 없다는 지적이다. 업권 관계자는 ""시중은행에는 여러 비과세 수단이 있지만 상호금융에는 비과세 예탁금 하나뿐""이라며 ""형평성과 지역경제 안정을 위해서라도 비과세 혜택은 현행대로 일몰 연장돼야 한다""고 말했다."
한국감정평가사협회 '국민은행 감정평가시장 불법 침탈 규탄',https://n.news.naver.com/mnews/article/421/0008624462,(서울=뉴스1) = 한국감정평가사협회 회원들이 25일 서울 여의도 KB 국민은행 앞에서 '제7차 국민은행 감정평가시장 불법 침탈행위 규탄대회'를 하고 있다. (한국감정평가사협회 제공. 재판매 및 DB 금지) 2025.11.25/ 뉴스1
"'증시 이동 막아라'…은행들, 연 3.0%대 예금 상품 속속",https://n.news.naver.com/mnews/article/648/0000042104,"국민은행, 공동구매예금 재판매 신한·우리은행도 최고금리 상향 은행들이 최고 연 3.0%를 주는 예금 카드를 꺼내들었다. 시장금리 상승과 예·적금 만기 임박, 증시로의 자금 이탈 등 다양한 요인이 작용한 결과다. 은행들은 과거부터 고금리 단기 상품을 판매하거나 우대금리를 상향 조정하며 시장 상황에 대응해왔다. 25일 금융권에 따르면 KB 국민은행은 전날 2025-1차 공동구매정기예금 판매를 개시했다. 이 상품은 개인이 아닌 여럿이 함께 드는 상품으로, 가입자가 많을 수록 금리가 올라가는 특징이 있다. 가입기간 1년을 기준으로 최종 판매금액이 1000억원 이하인 경우 연 2.75%, 1000억원 초과인 경우 연 2.85%의 금리가 적용된다. 지난해 11월1일부터 재예치를 포함한 정기예금 신규 이력이 없는 경우 연 0.15%포인트의 이벤트 금리까지 적용돼 최고 연 3.0%까지 받을 수 있다. 신한은행도 지난 17일 신한 my 플러스정기예금 최고금리를 연 2.80%에서 0.30%포인트 높여 3.10%까지 제공하기로 했다. 1년 만기 기준 기본금리 연 2.90%에 6개월간 정기예금 미보유·입출금통장에 건별 50만원 이상 소득 입금 등 우대 조건을 충족하면 0.20%포인트를 더 얹어주는 방식이다. 우리은행의 주력 상품인 'WON 플러스 예금' 금리는 연 2.80%에서 0.05%포인트 상향 조정된 2.85%로 올라갔다. 이에 더해 지난 14일 '우리 첫거래우대 정기예금' 최고금리를 연 2.80%에서 3.00%로 높였다. 단, 신규일 직전년도 말 기준 우리은행 계좌를 보유하지 않을 시에만 적용되는 조건이 있다. 시중은행들의 예금 상품 금리가 3.0%까지 올라간 것은 약 반년 만이다. 이는 현재 금융시장 분위기와 무관하지 않다. 우선 시장금리가 상승하고 있다. 한국은행의 기준금리 인하 가능성이 점차 낮아지면서 국고채 10년물 금리는 3%대까지 뛰었다. 금융투자협회 채권정보센터에 따르면 은행채 1년물 금리는 지난 8월25일 2.504%에서 이달 18일 2.784%까지 상승했다. 예·적금 만기가 올해 4분기에 집중된데다 증시 호황으로 자금이 이탈하면서 이를 묶어두거나 유입을 늘릴 필요성도 생겼다. 지난달 기준 4대 은행의 요구불예금 잔액은 584조3783억원으로 한달 사이 18조7008억원이나 빠져나갔다. 유동성커버리지비율( LCR ) 등 건전성 지표 관리에 나서야 하는 은행들은 다시 한번 금리를 올리게 됐다."
"NH투자증권, 혁신산업·중기에 모험자본 3천150억원 투자",https://n.news.naver.com/mnews/article/001/0015761602,"""국민성장펀드 가동 전 집행""…민간금융 선제적 역할 강조 NH 투자증권 NH 투자증권 사옥 모습 [ NH 투자증권 제공] (서울=연합뉴스) 배영경 기자 = NH 투자증권은 혁신산업과 중소·중견기업에 총 3천150억원의 모험자본을 선제적으로 투자하겠다고 25일 밝혔다. NH 투자증권은 이날 보도자료에서 ""이번 출자는 정부의 국민성장펀드가 본격 가동되기 전부터 집행된다""며 ""민간 금융으로서 선제적인 역할을 하겠다는 의지를 드러낸 투자""라고 소개했다. 구체적으로 혁신산업에 1천억원, 중소·중견기업에 2천150억원이 투입된다. 우선 NH 투자증권은 벤처·기술 특화 펀드 20여곳에 1천억원을 출자해 혁신산업에 자본을 직접 공급할 예정이다. 지원 대상은 인공지능( AI ), 반도체 '소부장'(소재·부품·장비), 로보틱스, 모빌리티, 디지털 콘텐츠 등이다. 책임투자 차원에서 정책자금 선정 뒤 자금 모집에 어려움을 겪는 벤처캐피털( VC ), 바이오 기술기업, 세컨더리 기업 등에도 일부 투자할 예정이다. 나머지 2천150억원은 브릿지론·사모사채·적격기관투자자( QIB ) 등에 투자해 중소·중견기업 자금 조달을 돕는다. 이 같은 대출·채권 투자는 일종의 안정형 성장금융으로, 첨단산업 중심의 모험자본 투자 변동성을 보완하는 효과가 있을 것이라고 NH 투자증권은 설명했다. 윤병운 NH 투자증권 대표는 ""산업이 성장하려면 자본이 먼저 흐르고, 그 역할을 민간 금융이 해야 한다는 점에서 이번 투자는 매우 중요한 첫걸음""이라며 ""앞으로도 한국 경제의 성장 축에 더 적극적으로 투자할 것""이라고 말했다. ykbae @ yna.co.kr"
'국민은행 감정평가시장 불법 침탈행위 규탄대회' 갖는 감정평가사협회,https://n.news.naver.com/mnews/article/421/0008624460,(서울=뉴스1) = 한국감정평가사협회 회원들이 25일 서울 여의도 KB 국민은행 앞에서 '제7차 국민은행 감정평가시장 불법 침탈행위 규탄대회'를 하고 있다. (한국감정평가사협회 제공. 재판매 및 DB 금지) 2025.11.25/ 뉴스1
