title,link,content
텐센트도 'AI 머니 레이스' 가세…딤섬본드로 총알 장전,https://n.news.naver.com/mnews/article/003/0013485894,"4년 만에 신규 채권 발행…中 빅테크 '실탄' 마련 속도 [선전(중국)=뉴시스]오동현 기자 = 중국 선전에 위치한 텐센트 본사. odong 85@ newsis.com [서울=뉴시스]임철휘 기자 = 중국 빅테크 텐센트(騰迅·텅쉰)가 4년 만에 채권을 발행한다. 16일(현지 시간) 파이낸셜타임스( FT )에 따르면 텐센트는 이날 역외 위안화( CNH ) 표시 채권(딤섬본드)을 세 개 트랑슈(5년·10년·30년 만기)로 발행할 계획이라고 밝혔다. 인공지능( AI )과 클라우드 등 대규모 투자에 필요한 재원을 확보하기 위한 것으로, 텐센트의 신규 부채 발행은 2021년 이후 처음이다. 정확한 발행 규모는 공개되지 않았으며 주관사는 JP 모건·뱅크오브아메리카( BofA ) 시큐리티스·모건스탠리가 맡는다. 텐센트는 지난해 6600억 위안(약 128조원)의 매출을 기록했다. 중국 빅테크의 채권 조달은 올해 들어 속도를 내는 모습이다. 바이두는 지난주 2029년 만기 44억 위안(8500억원) 채권을 발행했고, 3월에도 100억 위안(1조9400억원)을 조달했다. 중국 최대 기술기업인 알리바바도 지난 11일 32억 달러(4조4000억원) 규모 전환사채( CB )를 발행했다. 알리바바는 지난해에도 170억 위안(3조3000억원) 딤섬본드를 찍은 바 있다. 채권 만기가 길어지는 흐름도 눈에 띈다. 한 은행 관계자는 FT 에 ""3년 전만 해도 CNH 로 10년·30년 초장기물을 소화하기 어려웠다""면서도 ""지금은 역외 위안화 초장기물 발행에 우호적인 시기""라고 평가했다. 선진국 장기 국채금리가 재정 지출 확대와 인플레이션 우려로 변동성을 키우는 가운데, 기업들이 미국 장기금리 하락을 기다리기보다 다양한 통화·만기로 재원을 선제 조달한다는 것이다. 이번 딜은 미국 증권법 등록 없이 역외 시장의 비(非)미국인 투자자를 대상으로 진행된다. 한편 FT 는 딤섬본드 발행은 연간 기준 또 한 번의 사상 최대 경신이 유력하다며 외국계 다국적 기업들의 시장 참여도 확대되는 추세라고 설명했다."
"유로화, 4년래 최고치 근접…美연준 금리인하 기대 반영",https://n.news.naver.com/mnews/article/018/0006117060,"1유로=1.1791달러로 치솟아…7월초 이후 최고 ECB 동결 vs 연준 완화, 유로화 투자 매력 'UP' 올 14%↑ 강세…옵션 시장선 1.20달러 돌파 베팅 [이데일리 방성훈 기자] 미국 달러화 대비 유로화 가치가 4년 만에 최고 수준에 근접했다. 미국 연방준비제도( Fed ·연준)가 이번주 연방공개시장위원회( FOMC )에서 기준금리를 인하할 것이란 기대가 커진 영향이다. (사진= AFP ) 16일(현지시간) 블룸버그통신에 따르면 이날 유로화 가치는 전거래일대비 0.3% 상승한 1.1791달러까지 치솟으며 지난 7월 3일 이후 최고치를 기록했다. 당시 기록한 전고점 1.1829달러를 돌파하면 2021년 9월 이후 최고치가 된다고 블룸버그는 설명했다. 유럽중앙은행( ECB )의 기준금리 동결 기조가 지속되는 가운데, 미 연준이 16~17일 FOMC 에서 금리인하를 단행할 것이란 기대감이 반영된 결과다. 시장은 연준이 연말까지 세 차례에 걸쳐 각각 25 bp (1 bp =0.01%포인트)의 금리인하를 단행할 것으로 내다보고 있다. ECB 는 인플레이션이 목표치에 근접했음에도 여전히 신중한 접근을 유지하며 추가 금리인하를 중단한다는 신호를 시장에 보낸 상황이다. 반면 연준은 고용시장 둔화를 우려해 선제적 완화에 나설 가능성이 높아 보인다. 즉 이달부터 완화 사이클을 시작할 것으로 예상된다. 국제 금융시장에서 투자자들은 보통 금리가 높은 통화에 자금을 투자해 더 많은 이자를 얻으려고 하기 때문에 유로화의 매력이 부각되고 있는 것이다. 이에 따라 유로화 강세 모멘텀은 그 어느 때보다 강해진 상태다. 유로화 가치는 올해 들어 약 14% 급등하며 9개월 기준 역대 최고 상승률을 기록 중이다. 옵션 시장에서는 심리적 저항선인 1.20달러 돌파 가능성이 높다는 전망까지 나온다. 옵션 시장의 포지셔닝과 심리를 가늠하는 지표 1주일물 위험 역전( risk reversal )을 보면 ECB 가 완화 종료를 시사한 이후 유로화 매수 옵션에 대한 수요가 꾸준히 증가하고 있다. 아울러 예탁결제공사( DTCC ) 데이터에 따르면 전날 거래된 유로-달러 옵션의 3분의 2 이상이 강세 베팅이었으며, 특히 1.20달러를 넘는 행사가격에 대한 관심이 두드러졌다. 외환 트레이더들은 “이전에 복잡한 구조를 통해 유로화 강세 포지션을 구축했던 헤지펀드들이 이제는 단순한 상승 베팅으로 전환하고 있다”며 “이는 유로화 강세에 대한 확신이 커지고 있음을 시사한다”고 입을 모았다. 모건스탠리 전략가들은 연준의 기준금리 결정을 앞두고 전술적 달러 포지셔닝이 중립적이라고 분석했다. 이는 정책당국자들이 올해 세 차례 금리인하에 대한 시장 베팅을 검증해줄 경우 유로화 랠리가 추가로 확대될 여지가 있음을 의미한다. 시장 참가자들은 유로화가 1.20달러를 돌파할 경우 2020년 코로나19 팬데믹 이전 수준을 회복, 글로벌 무역과 투자흐름에도 상당한 영향을 미칠 것으로 예상하고 있다."
트럼프 관세에 공급 부족까지…알루미늄 가격도 고공행진,https://n.news.naver.com/mnews/article/001/0015629863,"영국 런던금속거래소( LME )의 트레이더들. [ EPA 연합뉴스 자료사진. 재배부 및 DB 금지] (서울=연합뉴스) 정성호 기자 = 도널드 트럼프 미국 대통령의 관세 폭격에 이어 이례적인 공급 부족, 수요 증가가 겹치며 국제 알루미늄 가격이 고공행진하고 있다고 파이낸셜타임스( FT )가 16일 보도했다. 우선 미국에서 알루미늄 가격은 트럼프 대통령이 50%의 품목 관세를 부과하면서 올해 들어 상승세다. 미국 인도분 알루미늄에 대해 런던에서 거래된 가격에 붙는 웃돈을 가리키는 일명 '미드웨스트 프리미엄'은 177%나 뛰면서 파운드당 70센트를 웃돌고 있다. 이는 10여년 만에 가장 높은 수준이다. 글로벌 벤치마크인 런던금속거래소( LME )의 알루미늄 가격도 트럼프 대통령이 전방위적인 상호관세를 발표한 지난 4월의 저점에서부터 약 17% 상승했다. 블룸버그에 따르면 16일 기준 LME 의 알루미늄 가격은 t당 2,700.5달러로, 연중 최저점인 4월 9일의 2,316.0달러에서 16.6% 뛰었다. 알루미늄은 자동차와 포장재 등에 쓰이는 원자재다. 영국 런던금속거래소( LME ) [ EPA 연합뉴스 자료사진. 재배부 및 DB 금지] 공급 측면에선 중국의 생산 억제와 다른 지역의 제련 용량 제한이 물량 부족을 낳고 있다. 중국은 2017년 생산능력 과잉을 해소하기 위해 연간 알루미늄 생산량 상한을 4천500만t으로 제한했다. 여기에 2022년 러시아가 우크라이나를 침공한 뒤 유럽의 에너지 가격이 폭등하면서 많은 알루미늄 제련소가 문을 닫아야 했다. 반면 인도네시아와 인도 등 국가에서의 생산 개시는 더디게 이뤄졌다. BNP 파리바의 원자재 전략국장 데이비드 윌슨은 ""중국의 생산 상한이 시장을 실질적으로 바꿔놨다""며 ""20년 만에 처음으로 시장은 '다음 공급은 어디에서 올까'를 고민해야 하게 됐다""고 말했다. 그리스의 한 항구에 적재된 알루미늄 봉 [ EPA 연합뉴스 자료사진. 재배부 및 DB 금지] 문제는 이 같은 가격 상승이 앞으로 더 심화될 것으로 우려된다는 점이다. 유니크레딧의 투자 전략가 토머스 스트로벨은 ""중국의 경기부양책에 따른 지속적인 수요가 생산 제한과 맞물리면서 올해 말까지 알루미늄 가격이 오를 것으로 예상한다""고 말했다. 모건스탠리의 중국 원자재 리서치 수석 레이철 장은 ""알루미늄은 역사적으로 공급과잉 산업이었지만 이제 부족 국면에 접어들고 있다""고 말했다. 재고 부족이 내년까지 이어질 수 있다는 관측도 있다. 뱅크오브아메리카의 분석가들은 올해 알루미늄의 잉여가 내년엔 부족 상황으로 전환할 것으로 예상했다. 이 경우 현재 t당 2천700달러 안팎인 가격이 내년 말께에는 3천달러로 치솟을 것으로 이들은 전망했다. sisyphe @ yna.co.kr"
"구글, 트럼프 국빈 방문 앞두고 영국에 9조원 투자 발표",https://n.news.naver.com/mnews/article/018/0006117055,"구글, 향후 2년 9조원 英 신규투자 발표 트럼프, 16~18일 영국 국빈 방문 맞물려 “英기업에 연간 8250개 일자리 창출할것” [이데일리 김윤지 기자] 글로벌 검색엔진 업체 구글이 향후 2년 동안 영국에 50억 파운드(약 9조 4000억원)에 달하는 신규 투자를 단행하겠다고 16일(현지시간) 밝혔다. 이는 도널드 트럼프 미국 대통령의 영국 국빈 방문을 앞두고 이뤄진 것으로, 트럼프 대통령의 영국 방문 기간 다수의 사업 협정과 파트너십이 체결될 것으로 예상된다. 2019년 12월 영국 런던에서 열린 북대서양조약기구( NATO ) 정상회의를 앞두고 기념촬영 중인 도널드 트럼프 대통령 부부(왼쪽)와 찰스 3세 현 국왕과 카밀라 왕비.(사진= AFP ) 구글은 이날 성명을 통해 이 같은 신규 투자 계획과 함께 런던 인근에 새로운 데이터센터를 개소한다고 발표했다. 이 데이터센터는 구글 클라우드, 검색, 지도 등 인공지능( AI ) 기반 서비스에 대한 증가하는 수요를 충족하기 위해 마련됐다. 250개 이상의 기업이 이 시설 건설에 참여했다. 50억 파운드 규모의 투자에는 구글의 자본 지출, 연구 개발(R&D), 관련 엔지니어링이 포함된다. 구글은 “이 투자는 영국의 AI 경제 발전과 영국 전역의 AI 혁신 창출, 사이버 보안 강화, 그리고 수백만 명의 영국인에게 미래 지향적인 직업 기회 창출에 도움이 될 것”이라면서 영국 기업에 연간 8250개의 일자리를 창출할 것이라고 전망했다. 레이첼 리브스 영국 재무장관은 해당 성명에서 “이번 투자는 영국 경제에 대한 강력한 신뢰 표시이자 미국과 영국의 강력한 파트너십을 보여주는 것”이라면서 “이를 통해 향후 수년간 일자리를 창출하고 경제 성장을 이룰 것”이라고 밝혔다. 루스 포랫 구글 사장 겸 최고투자책임자( CIO )는 “구글은 영국 내 입지를 더욱 강화하고 AI 를 통해 2030년까지 영국 경제에 4000억 파운드(약 752조원)를 추가하는 동시에 중요한 사회 서비스도 강화할 수 있는 잠재력을 지원할 것”이라고 말했다. 이번 발표는 키어 스타머 총리가 이끄는 영국 정부에도 호재가 될 것으로 보인다고 로이터통신은 짚었다. 트럼프 대통령은 찰스 3세 영국 국왕의 초청으로 이날부터 18일까지 사흘간 영국을 국빈 방문한다. 트럼프 대통령의 영국 국빈 방문은 2019년에 이어 두 번째다. 트럼프 대통령의 이번 영국 방문은 양국 간 경제 관계를 더욱 심화시키는 계기가 될 것으로 전망된다. 미국 고위 당국자들은 이번 방문 기간 양국이 100억 달러(약 13조 7000억원)가 넘는 경제 협정을 발표할 예정이라고 밝혔다. 한편 구글은 성명에서 또한 영국계 글로벌 에너지 기업 쉘과의 협정을 체결했다고 전했다. 이 협정은 전력망 안정화와 영국의 에너지 전환에 기여할 예정이다. 구글은 청정에너지 이니셔티브와 쉘과의 파트너십을 통해 영국 내 운영이 2026년에는 95% 또는 이에 가까운 탄소 제로 에너지로 가동될 것으로 예상된다고 예상했다. 이날 문을 연 월섬 크로스 데이터센터 또한 환경 영향을 최소화했다고 구글은 전했다. 물 사용량을 줄이기 위해 공기 냉각 기술을 활용하며 데이터센터에서 발생하는 열을 인근 가정이나 사업장에 재공급할 수 있도록 설계됐다."
"""美퇴직연금 백만장자들의 비밀, 경쟁이 낳은 혁신의 성과""",https://n.news.naver.com/mnews/article/008/0005251305,"[연금부자 국가서 배운다]⑪ [편집자주] 퇴직연금 수익률을 높이기 위해 기금형 퇴직연금 도입이 재추진된다. 전문가가 굴리는 기금으로 성과를 높여야 한다는 주장과 개인의 선택권을 제한한다는 반발이 엇갈린다. 퇴직연금 역사가 깊고 다양한 제도를 먼저 도입한 선진국을 찾아 퇴직연금 개혁 방향을 짚어본다. 도널드 트럼프 미국 대통령이 올해 1월 집권 2기를 시작한 뒤 서명한 200여건의 행정명령 가운데 뉴욕 월가의 자산운용업계가 유독 주목한 문서가 하나 있다. 퇴직연금 투자자의 대체자산 투자 접근 확대에 관한 지난 8월7일자 행정명령 14330호다. 이 행정명령으로 퇴직연금 계좌의 가상자산·사모펀드 투자가 허용되자 골드만삭스와 티로우프라이스가 곧바로 전략적 제휴를 맺고 대체자산을 포함한 새로운 투자상품을 출시하기로 했다. 새로운 시장이 열리자마자 경쟁 우위 확보를 위해 재빠르게 움직인 것이다. 모건스탠리 뉴욕 본사에서 근무하는 이병선 퇴직연금 담당 이사는 ""이런 현상이 미국 퇴직연금 시장을 세계에서 가장 역동적인 자산운용 무대로 만든 '경쟁이 낳은 혁신'""이라고 말했다. 은퇴자의 천국으로 불리는 미국에서 수십만명의 연금 백만장자가 나오는 비결로 전문가들은 디폴트옵션(사전지정운용제도), TDF (타깃데이트펀드·은퇴시기를 고려해 생애주기별로 자산을 배분 투자하는 펀드)와 함께 운용사간 치열한 경쟁 체제를 꼽는다. 세계 최고의 시장에서 내로라하는 글로벌 운용사들이 벌이는 불꽃 튀는 경쟁이 연금 수익률을 끌어올리는 대형 엔진이라는 얘기다. 경쟁을 촉발시킨 주역은 단연 뱅가드다. 뱅가드는 수십 년 전부터 인덱스 펀드를 기반으로 한 저비용 운용 전략을 고수하면서 퇴직연금 시장에서도 '수수료 절감'이라는 강력한 메시지로 투자자들을 사로잡았다. 뱅가드의 저비용 공세에 맞서 피델리티는 '액티브 운용'과 '기술 혁신'으로 반격에 나섰다. 피델리티는 숙련된 펀드 매니저가 시장 평균 이상의 초과 수익을 추구하는 액티브 운용 펀드를 TDF 에 포함시켜 단순히 시장을 추종하는 인덱스 펀드와는 다른 차별점을 부각시켰다. 또 고객 맞춤형 투자자문서비스 로보어드바이저를 도입하고 온라인 플랫폼과 모바일 앱을 구축해 가입자들의 편의성을 극대화했다. 세계 최대 자산운용사인 블랙록은 ETF (상장지수펀드)를 활용한 전략으로 퇴직연금 시장의 새로운 강자로 떠올랐다. 블랙록의 '아이셰어즈 ETF' 는 특정 지수를 추종하면서도 낮은 비용으로 다양한 자산군에 손쉽게 분산투자할 수 있다는 게 장점이다. 블랙록은 자사의 TDF 상품에 이 ETF 를 적극적으로 활용해 비용 효율성과 함께 투자 포트폴리오의 유연성을 높였다. 오랜 기간 축적된 리서치 역량을 바탕으로 '액티브 운용'에 대한 신뢰를 구축해온 티로프라이스는 '일관된 액티브 운용'으로 승부했다. 이들은 TDF 를 포함한 다양한 펀드에서 벤치마크 대비 초과 수익을 꾸준히 달성하면서 특히 시장 상승기에 더 높은 수익률로 투자자들의 주목을 받았다. 티로프라이스가 블랙록을 제치고 퇴직연금시장에서만큼은 피델리티, 뱅가드와 함께 3대 운용사를 꿰찬 이유다. 전문가들은 미국 퇴직연금 시장의 경쟁 체제가 제로섬 게임이 아니라고 확신한다. 뱅가드의 저비용 전략은 시장 전체의 수수료 인하로 이어졌고 피델리티의 기술 혁신은 가입자들의 투자 편의성을 높였다. 경쟁을 통한 시장 혁신이 결과적으로 더 저렴하고 효율적이며 투명한 상품을 만들어내고 선택할 수 있는 환경을 조성한 셈이다. 블랙록, 피델리티, 뱅가드 등이 세계적인 자산운용사로 성장한 데도 퇴직연금이라는 거대한 은퇴시장의 힘이 컸다는 얘기가 나온다. 1981년 미국에서 퇴직연금이 시작됐을 때 1조달러였던 운용자산이 지난해 44조달러(6경672조원)로 늘었다. 뱅가드의 지난해 말 총 운용자산 10조4000억달러에서 퇴직연금 운용자산은 8조달러가 넘는다. 피델리티, 티로프라이스도 전체 운용자산에서 퇴직연금 운용자산 비중이 70%에 육박한다. 운용사 간의 경쟁은 이제 단순한 수익률 숫자 싸움을 넘어 투명성이라는 새로운 차원으로도 진화하고 있다. 2015년 퇴직연금 운용사들의 투자 모니터링 의무 위반 여부를 다룬 일련의 법적 분쟁 이후 미국 노동부가 퇴직연금 관련 수수료와 비용을 모두 명확히 공개하도록 의무화하자 운용사들은 수익률과 변동성, 위험대비 성과 등 객관적인 지표들을 상세하게 제공하기 시작했다. 이런 투명성은 결국 운용사들이 투자 신뢰를 얻기 위한 필수적인 과정이 됐다. 이병선 이사는 ""미국 퇴직연금 가입자들이 특별히 투자를 잘 알고 잘 해서 연금을 크게 불리는 게 아니다""라며 ""경쟁을 붙이고 투명하게 관리하면 진짜 '수익률 승부'가 이뤄지는 것""이라고 말했다. 이병선 모건스탠리 퇴직연금 담당 이사가 미국 뉴욕 맨해튼 본사에서 머니투데이와 인터뷰를 하고 있다. /사진=심재현 특파원"
"美·印, 뉴델리서 관세 협상 재개…11월 1차 타결 목표",https://n.news.naver.com/mnews/article/014/0005407709,"5차 협상 결렬 후 2개월 만에 열려 도널드 트럼프 미국 대통령(왼쪽)과 나렌드라 모디 인도 총리.연합뉴스 [파이낸셜뉴스] 지난달 미국이 러시아산 원유 수입 등을 이유로 인도산 제품에 보복성 50% 관세를 부과한 뒤 교착 상태에 빠졌던 양국 무역 협상이 2개월 만에 재개된다. 16일(현지시간) 프랑스 AFP 통신과 인도 일간 인디언익스프레스 등에 따르면, 양국 대표단은 이날 인도 뉴델리에서 회담을 열고 협상 재개 방안을 논의한다. 지난 7월 워싱턴에서 열린 5차 협상 이후 처음이다. 애초 8월 25~29일 예정됐던 6차 협상은 미국 측의 갑작스러운 취소로 무산된 바 있다. 이번 회담에는 브렌던 린치 미 무역대표부( USTR ) 차관보가 참석할 것으로 알려졌다. 다만 본격적인 협상보다는 사전 조율 차원의 성격이 강하다고 전해졌다. 도널드 트럼프 미국 대통령은 최근 ""두 강대국이 성공적인 결론을 도출하는 데 어려움이 없을 것""이라고 밝혔고, 나렌드라 모디 인도 총리도 ""최대한 빨리 협상을 타결하기 위해 노력 중""이라며 협상 의지를 재확인했다. 인도 정부는 11월까지 1단계 합의 도출을 목표로 하고 있다. 앞서 미국은 4월 인도에 26% 상호관세를 부과한 데 이어, 러시아와의 석유 거래 문제를 이유로 제재성 25%를 추가해 총 50% 관세를 매긴 바 있다. 이는 미국이 세계 교역국에 부과한 최고 수준의 세율로, 브라질에 적용된 것과 동일하다."
트럼프 국빈 방문에 맞춰…빅테크들도 영국으로,https://n.news.naver.com/mnews/article/001/0015629790,"구글, 9조4천억원 투자 발표 ""올트먼·젠슨 황은 트럼프 방문 동행"" 도널드 트럼프 대통령의 국빈 방문을 앞두고 윈저성 인근에 걸린 성조기 [ AFP 연합뉴스 자료사진. 재판매 및 DB 금지] (서울=연합뉴스) 문관현 기자 = 도널드 트럼프 미국 대통령의 영국 국빈 방문에 맞춰 미국 빅테크들이 영국에 대한 대규모 투자 계획을 내놓고 있다. 로이터 통신에 따르면 구글은 트럼프 대통령의 영국 방문을 앞두고 16일(현지시간) 영국에 50억파운드(약 9조4천억원) 규모의 신규 투자를 할 것이라고 밝혔다. 또 런던 인근에 새 데이터센터를 연다고 발표했다. 새 데이터센터는 클라우드, 검색, 지도, 워크스페이스 등 인공지능( AI ) 기반 서비스 수요 증가에 대응하기 위한 것이다. 구글은 또 영국계 에너지 기업 셸과 영국의 에너지 전환, 전력망 안정 등에 기여할 합의도 했다고 밝혔다. 레이철 리브스 영국 재무장관은 구글이 발표한 성명에서 이번 투자는 영국 경제와 양국 협력관계의 견고함에 대한 강력한 신뢰의 표시라고 평가했다. 구글은 이번 투자로 영국 내 사업체에서 연간 8천250개 일자리가 창출될 것으로 예상된다고 했다. 챗 GPT 개발사 오픈 AI 와 AI 반도체 선두 주자인 엔비디아도 영국에서 수십억달러 투자를 발표한다고 블룸버그 통신이 앞서 지난 12일 보도했다. 블룸버그는 익명의 소식통들을 인용해 샘 올트먼 오픈 AI CEO 와 젠슨 황 엔비디아 CEO 가 트럼프 대통령의 영국 방문에 동행해 이러한 계획을 공개할 것이라고 전했다. 두 회사는 런던 소재 데이터센터 업체 엔스케일과 데이터센터 건설 프로젝트를 공동 추진 중인 것으로 전해졌다. 구글 등 미국 테크 기업들의 투자 발표는 출범 1년여 만에 지지율이 급락해 고전 중인 영국 노동당 정부의 경제 활성화 정책에 힘을 실어줄 것이라는 분석이 나온다. 미국 고위 당국자들은 트럼프 대통령의 이번 방문 기간에 100억달러(약 13조8천억원) 이상 규모의 경제 합의가 발표될 것이라고 말했다고 로이터는 전했다. khmoon @ yna.co.kr"
中 ‘텐안먼 과시’이후 생산·소비·투자 ‘트리플 쇼크’…성장률 5% ‘위태’,https://n.news.naver.com/mnews/article/024/0000099960,"제조업 위축·내수부진 드러나 대미 무역 갈등에 ‘내우외환’ 시진핑 중국 국가주석이 열병식서 연설하고 있다.(사진=연합뉴스) 중국의 8월 주요 경제 지표가 일제히 부진을 기록하며 경기 둔화 우려가 커지고 있다. 산업생산·소매판매·투자 모두 시장 전망을 밑돌면서 중국 정부가 제시한 연간 5% 성장 목표 달성이 쉽지 않을 것이라는 전망이 나온다. 15일 중국 국가통계국 발표에 따르면 8월 중국 산업생산은 전년 동월 대비 5.2% 증가하며 로이터 전망치(5.7%)와 블룸버그 전망치(5.6%)를 밑돌았다. 지난해 8월(4.5%) 이후 최저치다. 내수 경기의 가늠자가 되는 소매판매도 3.4% 증가하는 데 그치며 지난해 11월(3%) 이후 가장 낮은 증가율을 보였다. 투자지표도 부진했다. 공장, 도로, 전력망, 부동산 등에 대한 자본 투자 변화를 보여주는 1~8월 고정자산투자는 지난해 같은 기간보다 0.5% 늘었는데, 이는 2020년 이후 최악의 수치다. 시장 전망치(1.5%)와 1~7월 증가폭(1.6%)도 크게 밑돌았다. 중국 정부가 공급 과잉 문제를 해결하기 위해 투자를 일정 부분 제한하면서 고정자산 투자가 위축됐다는 분석이 나온다. 부동산 침체도 이어졌다. 같은 날 발표된 중국의 8월 신규주택 가격은 전년 대비 2.5% 하락하며 26개월 연속 하락세를 이어갔다. 중국 부동산 시장은 2021년 하반기 이후 4년째 침체가 지속되고 있다. 중국 정부가 모기지 금리 인하에서 도시 빈민촌 재개발까지 여러 차례 부동산 부양책을 내놓았지만, 아직 시장이 반등하지 못하고 있는 상태다. 게다가 수출도 심상치 않다. 지난 8일 발표된 중국의 8월 수출액은 전년 동월 대비 4.4% 증가에 그치며, 시장 전망치(로이터 5%)와 전월치(7.2%)를 모두 밑돌았다. 홍콩 사우스차이나모닝포스트( SCMP )는 “내수 침체, 미국과의 무역 전쟁에 따른 역풍, 장기적인 부동산 침체가 주요 경제 지표에 영향을 미쳤다”며 “8월 중국 경제가 침체 조짐을 보인다”고 분석했다. 미즈호증권의 세레나 저우 선임 중국 이코노미스트는 “작년 4분기 베이스가 높은 기저효과로 인해 올해 4분기 성장률은 더 크게 둔화될 가능성이 있으며 경기 부양책이 나오지 않을 경우 중국 정부의 5% 성장 목표 달성이 위태로워질 것“이라고 말했다. 앞서 중국 당국은 상반기 5.3% 성장률을 기록하며 ‘연간 5% 달성’을 자신했으나, 하반기 들어 성장 동력이 빠르게 약화되는 모습이다. ING 의 린 쑹 이코노미스트는 “연초의 강한 출발 덕에 올해 성장 목표는 여전히 달성 가능 범위에 있지만 올해를 강력히 마무리하려면 추가 경기부양책이 필요할 수 있다”고 말했다. 중국의 향후 통화정책 카드도 주목된다. 시장에서는 미국 연방준비제도( Fed ·연준)가 이번 주 금리 인하를 재개할 경우 중국인민은행도 위안화 절하 압력에 대한 우려 없이 금리를 낮출 수 있을 것이라는 전망이 나온다. 다만 최근 중국 증시 급등이 버블 확대 우려를 낳고 있어 금리 인하 속도가 늦춰질 가능성도 제기된다."
"FT ""연준, 고용·물가 균형잡는 스몰컷 합리적…대응여지 남겨야""",https://n.news.naver.com/mnews/article/421/0008489831,"사설 통해 ""인플레 불확실성 여전해 빅컷 정당화 안돼"" 지난 7월 30일(현지시간) 미국 워싱턴 DC 에서 열린 연방공개시장위원회( FOMC ) 회의 후 기자회견에서 제롬 파월 연방준비제도(연준) 의장이 발언하고 있다. 2025.7.30ⓒ AFP =뉴스1 (서울=뉴스1) 신기림 기자 = 미국 중앙은행 연방준비제도(연준)가 고용과 물가 안정이라는 이중 책무의 균형을 잡으며 신중한 스몰컷(0.25%p 금리 인하)을 선택할 것이라고 글로벌 경제매체 파이낸셜타임스( FT )가 전망했다. FT 편집위원회는 15일(현지시간) 사설을 통해 이틀 후 17일 연준이 올해 첫 금리 인하에 나서겠지만 ""0.25%p의 신중한 인하가 가장 합리적 선택""이라고 평가했다. 연준은 단순한 경기 대응을 넘어 완전 고용과 물가 안정이라는 이중 책무 사이 균형을 잡아야 하는 과제에 직면했다. 여기에 도널드 트럼프 대통령의 빅컷(0.5%p 인하) 요구도 거세지고 있다. 고용 부진과 같은 경기 둔화는 금리 인하의 근거가 된다. 실제 이달 소비자 신뢰가 하락했고 건설과 제조업은 높은 금리와 관세 부담으로 위축됐다. 고용 시장도 냉각 조짐을 나타냈다. 민간 산업 중에서 일자리를 줄이는 업종이 늘고 있으면 구직 기대치는 역대 최저로 가라 앉았다. 하지만 인플레이션은 여전히 복잡한 변수로 작용한다. FT 는 ""인플레이션 불확실성이 너무 커서 과도한 금리 인하를 정당화하기 어렵다""고 지적했다. 트럼프의 관세는 점진적으로 물가 압력을 높여 소비자들의 1년 후 기대 인플레이션은 연준 목표 2%의 2배를 훌쩍 넘어 4.8%에 달한다. 미약한 고용 지표는 우려스럽지만 인플레이션 불확실성으로 스몰컷이 가장 합리적이라고 FT 는 평가했다. 그러면서 FT 편집위원회는 ""제롬 파월 연준 의장이 경제 전망의 불확실성을 강조하고 향후 유연하게 대응할 여지를 남겨야 한다""고 강조했다. 이번 회의 이후에 관세가 얼마나 물가에 영향을 끼칠지와 고용 시장을 얼마나 약화할지에 대해 더 명확한 데이터가 나올 것이라는 설명이다. 이에 따라 연준은 ""금리 인하를 가속하거나 멈추거나 되돌리는 등 보다 단호한 결정을 내릴 수 있다""고 FT 는 예상했다. 결국 지금은 연준이 인내할 때이며 공황이 아니라 신중함이 가장 현명한 선택이라고 FT 는 덧붙였다."
호세 무뇨스 현대차 대표 “韓 전문성은 귀중한 자산…美사업장과 한국 간 협력 필수”,https://n.news.naver.com/mnews/article/021/0002736961,"최금 임직원 메일 통해 美 조지아 주 합작 배터리 공장 단속 사태 입장 전해 “미국 제조업에 대한 확고한 의지 변함없어” 협력업체 근로자 및 가족들 향해 “깊은 위로” 호세 무뇨스 현대자동차 대표(사장). 현대차 제공 호세 무뇨스 현대자동차 대표(사장)가 최근 미국 이민·세관당국의 조지아 주 현대차· LG 에너지솔루션 합작 배터리 공장 근로자에 대한 대규모 단속 사태와 관련, “미국을 포함한 해외 사업장과 한국 간의 협력은 글로벌 성공을 위해 필수적”이라고 말했다. 16일 업계에 따르면, 무뇨스 대표는 최근 임직원들에게 보낸 메일에서 “한국의 전문성, 혁신, 기술력과 노하우는 전 세계 현대자동차 운영에 있어 귀중한 자산”이라며 이같이 밝혔다. 현대차가 이번에 단속된 공장 외에도 미국 현지 투자, 생산시설 확대 등을 진행하고 있는 상황에서 한국의 한국의 숙련된 기술 인력 파견이 불가피한 점을 강조한 것으로 해석된다. 무뇨스 대표는 지난 11일(현지시간) 미국 현지 인터뷰에서도 “공장 건설 단계에는 전문 인력이 필요하다. 미국에서는 구할 수 없는 기술과 장비가 많다”고 지적한 바 있다. 무뇨스 사장은 “현대차는 15년 넘게 조지아 주에서 사업을 해왔고 미국 제조업에 대한 확고한 의지는 변함없다”며 “본 사안을 매우 엄중하게 여기고 있으며 관련 모든 부서가 여러분이 언제 어디서나 안전하게 근무하실 수 있도록 총력을 다하고 있다”고 말했다. 그는 구금됐다 풀려나 귀국한 협력업체 근로자와 가족들을 향해선 “깊은 위로의 마음을 전한다. 안전하게 한국으로 복귀할 수 있어 매우 다행이고, 다시 평안한 일상으로 돌아가시기를 바란다”고 전했다."
