title,link,content
'HD건설기계' 내년 1월 출범... 글로벌 톱10 정조준,https://n.news.naver.com/mnews/article/014/0005407711,"HD 현대건설기계-인프라코어 16일 임시 주총서 합병안 통과 내년 1월 'HD 건설기계' 출범 2030년 매출 14조8000억 목표 최철곤 HD 현대건설기계 대표이사 사장이 16일 분당 HD 현대 글로벌R&D센터에서 열린 'HD 현대건설기계 임시 주주총회'에서 총회를 진행하고 있다. HD 현대사이트솔루션 제공 [파이낸셜뉴스] HD 현대건설기계와 HD 현대인프라코어의 합병안이 임시 주주총회 문턱을 넘으며 매출 8조원 규모 국가대표 건설기계 기업 'HD 건설기계' 탄생이 임박했다. HD 현대건설기계와 HD 현대인프라코어는 16일 각각 분당 HD 현대 글로벌R&D센터와 인천 HD 현대인프라코어 본사에서 열린 임시 주주총회에서 양사 합병안이 통과됐다고 밝혔다. 합병계약 체결 안건은 각각 참석 주주 99.91%, 99.24%의 찬성으로 승인됐다. 이와 함께 합병법인의 사명은 'HD 건설기계'로 확정됐다. 양사는 오는 10월 10일까지 주식매수청구권 행사 기간을 거쳐, 내년 1월 합병법인 HD 건설기계로 공식 출범할 예정이다. 합병 이후에도 모회사는 HD 현대사이트솔루션으로 유지된다. HD 현대건설기계와 HD 현대인프라코어는 글로벌 건설기계 시장에서 지난해 매출 기준 각각 25위, 21위를 기록했다. 양사 합병 시 순위가 14위까지 올라간다. 앞서 HD 현대건설기계와 HD 현대인프라코어는 지난 7월 1일 합병을 발표했다. 당시 양사는 ""글로벌 경기의 불확실성 지속과 업계 경쟁이 심화되는 상황에서 시장의 요구에 기민하게 대처하고, 미래 기술력 및 원가 경쟁력을 확보하기 위해 합병을 추진한다""고 밝혔다. 앞서 세계 최대 의결권 자문사인 ISS 는 이번 합병 안건에 대해 찬성 권고를 내린 바 있다. 국내 주요 신용평가사와 증권사 리포트에서도 양사의 합병 시너지에 대해 긍정적인 반응을 보였다. 이번 합병을 통해 건설기계 브랜드인 현대( HYUNDAI ), 디벨론( DEVELON )의 효율적 운영이 가능해 진다. 현대와 디벨론은 그동안 각각 HD 현대건설기계, HD 현대인프라코어의 브랜드로 활약했다. HD 건설기계는 2개 브랜드를 적극 활용해 기존 채널을 강화하고 신규 시장을 개척할 계획이다. 합병법인 HD 건설기계는 주력 사업인 건설장비를 비롯해 엔진, 애프터 마켓( AM ) 등 사업 전 영역의 고른 성장을 통해 오는 2030년 글로벌 톱티어 수준인 매출 14조8000억원 이상을 달성하는 것을 목표로 한다. 이는 지난해(7조6000억원) 대비 약 2배 늘린 목표다. 사업별로 매출 목표치는 건설장비 10조3000억원, 엔진 2조5000억원, 애프터마켓(사후관리, 이하 AM ) 1조4000억원 등이다. 제품 라인업도 대폭 확대된다. HD 건설기계는 2027년까지 미니 굴착기를 비롯해 컴팩트 트랙 로더( CTL ), 스키드 스티어 로더( SSL ), 컴팩트 휠 로더( CWL ) 등 컴팩트 장비 풀라인업을 갖출 계획이다. 컴팩트 장비 목표 판매량은 2030년 기준 2만2000대로 2024년(9000대) 대비 2배 이상 늘어난 규모다. 특히 일원화된 의사결정 체계를 통해 △근원적 경쟁력 강화 △수익원 다변화 △미래 성장 동력 확보에 집중하겠다는 방침이다. HD 현대 건설기계부문 관계자는 ""합병 안건 찬성으로 합병법인에 대한 신뢰와 기대를 보여주신 주주 여러분께 깊이 감사드린다""며 ""국가대표 건설기계 기업으로서 대한민국 건설기계 산업 발전의 새로운 이정표를 세워 나가겠다""고 말했다. #합병 #현대 #굴착기 # ISS #디벨론 #건설장비 #인프라코어"
국내 최대 기계업체 내년 1월 탄생한다,https://n.news.naver.com/mnews/article/011/0004533797,"HD 건설기계 합병안 임시 주총 통과 5년내 글로벌 톱10·매출 15조 목표 16일 경기도 분당 HD 현대 글로벌R&D센터에서 열린 ‘ HD 현대건설기계 임시 주주총회’에서 의장인 최철곤 사장이 총회를 진행하고 있다. 사진 제공= HD 현대사이트솔루션 [서울경제] 국내 최대 기계업체가 내년 1월에 새로 탄생한다. HD 현대건설기계와 HD 현대인프라코어(042670) 합병안이 16일 각 사의 임시 주주총회를 나란히 통과하면서다. 합병 회사인 HD 건설기계는 양 사 시너지를 극대화해 매출 15조원 규모로 5년 내 글로벌 10위권 진입을 노린다. HD 현대건설기계와 HD 현대인프라코어는 16일 경기도 분당 HD 현대 글로벌R&D센터와 인천 HD 현대인프라코어 본사에서 각각 임시주총을 열고 합병 계약 체결을 승인했다고 밝혔다. 합병 안건에 대한 참석 주주의 찬성률은 99.91%, 99.24%를 각각 기록했다. 합병 법인의 사명은 HD 건설기계로 확정됐다. 양 사는 다음 달 10일까지 주식매수청구권 행사 기간을 거친 후 내년 1월 HD 건설기계로 공식 출범한다. HD 현대건설기계와 HD 현대인프라코어는 앞서 7월 합병을 공식화한 바 있다. HD 현대 측은 “글로벌 경기 불확실성과 업계 경쟁이 심화하는 상황에서 시장 요구에 기민하게 대처하고, 미래 기술력 및 원가 경쟁력을 확보하기 위해 합병을 추진한다”고 설명했다. 글로벌 건설기계 시장에서 20위권에 머물러 있는 HD 현대인프라코어(21위)와 HD 현대건설기계(25위)가 통합된 합병 법인은 점유율 기준 12~13위권으로 올라설 전망이다. HD 건설기계는 주력 사업인 건설장비를 비롯해 엔진, 애프터마켓( AM ) 등 사업 전 영역의 고른 성장을 통해 2030년까지 글로벌 톱 10위권 수준인 매출 14조 8000억 원 이상을 달성한다는 목표를 세웠다. HD 건설기계는 일원화된 의사결정 체계를 통해 근원적 경쟁력 강화와 수익원 다변화, 미래 성장 동력 확보에 집중할 방침이다. 이번 합병을 통해 HD 현대 건설기계 부문 지배구조는 ‘ HD 현대(지주사)→ HD 현대사이트솔루션(중간지주사)→ HD 건설기계’로 간소화된다. HD 건설기계는 제품 라인업을 최적화하고 지역별로 생산 체계를 전문화해 규모의 경제를 확보하는 한편 양 사가 각각 운영해온 ‘현대( HYUNDAI )’와 ‘디벨론( DEVELON )’은 별개 브랜드로 유지할 계획이다. HD 현대 건설기계 관계자는 “국가 대표 건설기계 기업으로서 한국 건설기계 산업 발전의 새로운 이정표를 세워 나가겠다”고 말했다."
"롯데리아, '티렉스버거' 6년 만에 단종 ""브라질산 닭 수급 차질도 영향"" ·",https://n.news.naver.com/mnews/article/003/0013485838,"이달 티렉스버거 판매 종료…2018년 출시 후 6년 만 ""포트폴리오 조정 차원·신메뉴 출시로 매장 공간 부족"" [서울=뉴시스] 롯데리아 '티렉스버거' 모습.(사진=롯데 GRS 제공) *재판매 및 DB 금지 [서울=뉴시스]김민성 기자 = 롯데 GRS 가 운영하는 버거 프랜차이즈 롯데리아는 이달 들어 인기 메뉴 중 하나인 '티렉스( T-Rex )버거'를 출시 6년 만에 단종했다. 롯데리아 측은 원재료 수급 문제와 매장 운영 여건, 신메뉴 교체 주기 등이 복합적으로 작용한 결과라고 설명했다. 16일 외식 업계에 따르면 롯데리아는 이달 들어 전국 매장에서 티렉스버거 판매를 종료했다. 재고가 남아있는 매장의 경우 재고 소진 시 메뉴 판매를 종료한다. 티렉스버거는 번보다 큰 닭다리살 패티를 강조한 제품으로, 2018년 출시 직후부터 '가성비 치킨버거'라는 입소문을 타며 매출 효자 역할을 해왔다. 당시 출시 10일 만에 100만개가 판매됐으며, 3달 만에 누적 판매량 1000만개를 돌파하며 인기를 끌었다. 롯데 GRS 측은 티렉스버거의 단종 이유로 원재료 수급 문제와 지속적인 신메뉴 출시에 따른 매장 운영 환경 변화 등을 꼽았다. 우선 브라질산 닭고기 수급에 일부 차질이 생기면서 이를 원재료로 활용하는 티렉스버거 생산에도 영향을 미쳤다. 또 지속적으로 신제품을 출시하면서 매장 내 재료를 보관할 수 있는 냉동·냉장 공간이 부족해졌다는 점도 티렉스버거 단종에 영향을 줬다고 설명했다. 신제품 출시로 원재료가 계속 추가되는 상황에서 각 매장이 보유한 냉동고·냉장고는 한정돼 있다보니 기존 제품 중에서 일부를 단종할 수밖에 없다는 것이다. 롯데 GRS 관계자는 ""이달 초 티렉스버거를 단종한 것이 맞다""며 ""원재료 수급, 매장 운영 효율성 등  다양한 요인이 영향을 미쳤다""고 말했다."
"비브이씨, AI 모바일 POS '오더링' 중기부 TIPS 최종 선정",https://n.news.naver.com/mnews/article/119/0003003664,"더인벤션랩 추천을 통해 혁신 스타트업 지원사업 진출 지난 6월 이기세 비브이씨 대표가 IR 행사를 하고 있는 모습.ⓒ비브이씨 [데일리안 = 정인혁 기자] 인공지능 기반 핀테크·푸드테크 스타트업 비브이씨는 자체 개발한 AI 오더링( ORDERING ) 시스템으로 중소벤처기업부의 'TIPS ( Tech Incubator Program for Startup ) ’' 지원 사업에 최종 선정됐다고 16일 밝혔다. 이번 성과는 초기 스타트업 전문 투자운용사 더인벤션랩의 추천을 통해 이루어졌다고 회사 측은 설명했다. 비브이씨는 소상공인 판매 매장 및 외식업 가맹점의 ▲ POS ▲결제 ▲재고관리를 통합하는 스마트 오더링 플랫폼을 개발 중이다. 이번 TIPS 선정으로 비브이씨는 정부 R&D 자금 최대 5억원을 포함해 글로벌 진출 및 사업화와 연계된 최대 8억원 규모의 후속 지원을 확보하게 됐다. 회사는 이를 기반으로 ▲ OCR (광학 문자 인식) 기반 메뉴 자동 등록, ▲ AI 판매데이터 분석을 통한 재고관리 및 자동 발주, ▲날씨·휴일·행사 등 외부 변수 연동 CRM 추천, ▲위치기반 고객앱 및 모바일· QR 결제·예약 기능 등 핵심 기능을 고도화할 계획이다. TIPS 프로그램은 글로벌 시장 진출 가능성이 높은 기술 스타트업을 발굴해 민간 투자사와 정부가 공동으로 지원하는 대표적인 창업지원 제도다. 선정 기업은 기술개발 자금 지원은 물론 글로벌 진출 컨설팅, 후속 투자 연계 등 다방면의 지원을 받는다. 비브이씨 이기세 의장은 “이번 중기부 TIPS 최종 선정을 통해 정부 지원을 받게 된 것은 큰 의미가 있다”며 “오더링 시스템을 글로벌 모바일 POS 플랫폼으로 성장시켜 소상공인과 고객 모두에게 효율성과 편리함을 제공하는 혁신적인 AI 핀테크·푸드테크 솔루션으로 자리매김하겠다”고 밝혔다."
'HD건설기계' 내년 1월 출범…HD현대건설기계·HD현대인프라코어 합병 주총 통과,https://n.news.naver.com/mnews/article/277/0005652846,"각사 임시주총서 99%대 찬성 2030년 매출 14.8조원 목표로 다음달 10일까지 주식매수청구권 행사 HD 현대건설기계와 HD 현대인프라코어의 합병안이 임시 주주총회에서 승인되며, 국가대표 건설기계 기업 'HD 건설기계' 출범이 확정됐다. 양사는 16일 각각 경기 성남시 분당구 HD 현대 글로벌R&D센터와 인천 본사에서 열린 임시 주총에서 합병계약 승인 안건이 참석 주주의 99.91%, 99.24% 찬성으로 가결됐다고 밝혔다. 합병법인의 사명은 'HD 건설기계'로 확정됐다. 주식매수청구권은 다음 달 10일까지 행사할 수 있다. 오승현 HD 현대인프라코어 주주총회 의장(왼쪽)이 16일 인천 본사에서 열린 임시 주주총회를, 최철곤 HD 현대건설기계 주주총회 의장이 경기 성남시에서 열린 HD 현대 글로벌R&D센터에서 열린 임시 주주총회를 진행하고 있다. HD 현대사이트솔루션 지난 7월 합병을 발표한 두 회사는 글로벌 경기 불확실성과 업계 경쟁 심화 속에서 ▲기민한 시장 대응 ▲미래 기술력 확보 ▲원가 경쟁력 강화 등을 이유로 합병을 추진해왔다. 합병법인 HD 건설기계는 건설장비를 비롯해 엔진, 애프터마켓( AM ) 사업 등 전 부문의 균형 성장을 통해 2030년까지 매출 14.8조 원 이상 달성을 목표로 한다. 이를 위해 의사결정 체계를 일원화하고 미래 성장 동력 확보에 집중한다는 방침이다. HD 현대 건설기계부문 관계자는 ""합병법인에 대한 신뢰와 기대를 보여준 주주들께 감사드린다""며 ""국가대표 건설기계 기업으로서 대한민국 건설기계 산업 발전의 새로운 이정표를 세워나가겠다""고 말했다."
상생페이백 접수 첫날 79만명 신청…수도권서 44만명,https://n.news.naver.com/mnews/article/001/0015629831,"중기부, 30일까지 디지털 온누리상품권 충전 이벤트 상생페이백 접수 첫날 79만명 신청 [중소벤처기업부 제공. 재판매 및 DB 금지] (서울=연합뉴스) 강애란 기자 = 중소벤처기업부는 상생페이백 접수를 개시한 전날 약 79만명이 신청했다고 16일 밝혔다. 상생페이백은 만 19세 이상의 국민을 대상으로 이달부터 오는 11월까지 월별 카드 소비액이 지난해 월평균 카드 소비액보다 늘어났다면 증가한 금액의 20%까지 월 최대 10만원, 3개월간 30만원 한도에서 디지털 온누리상품권으로 환급해주는 사업이다. 5부제 접수 첫날인 전날 79만1천798명이 상생페이백 누리집(상생페이백 .kr )을 통해 신청했다. 지역별로는 수도권(서울·경기·인천)에서 44만명이 신청해 절반 이상을 차지했고, 수도권 외 지역에서는 부산 5만2천명, 경남 4만5천명 순으로 신청했다. 중기부는 전날 신청자를 기준으로 지원 대상자 여부와 지난해 월평균 카드 실적을 이틀 후인 17일 오전부터 알림톡으로 안내할 예정이다. 이달 1일부터 누적 카드 실적은 오는 18일 상생페이백 누리집 '페이백 및 소비복권 조회하기' 메뉴에서 확인할 수 있다. 상생페이백 사용처 중에서 하나로마트의 경우 기존에 유사 업종이 없는 면 지역 소재 점포만 해당했으나 읍·면 지역까지 넓혀 사용처가 780개로 늘었다. 또 지역 생산 농산물을 직접 소비자에게 판매하는 '로컬푸드직매장' 251곳도 사용처로 추가됐다. 중기부는 상생페이백 런칭 기념으로 오는 30일까지 디지털 온누리 앱에서 상품권을 누적 5만원 이상 충전하면 추첨을 통해 1만원의 상품권을 1만명에게 지급하는 이벤트도 한다. 이대건 중기부 소상공인정책관은 ""상생페이백을 모르고 신청하지 못한 국민이 없도록 지속해 홍보하고 사업 수행에 차질 없게 하겠다고 말했다. aeran @ yna.co.kr"
HD건설기계 합병안 주총 통과…내년 1월 공식 출범,https://n.news.naver.com/mnews/article/018/0006117047,"16일 각사 임시주총서 합병안 통과 10월 10일까지 주식매수청구권 행사 “건설기계 산업 새 이정표 세울 것” [이데일리 김은경 기자] HD 현대건설기계(267270)와 HD 현대인프라코어(042670)의 합병안이 임시 주주총회에서 승인되면서 ‘ HD 건설기계’가 출범을 앞두게 됐다. HD 현대건설기계와 HD 현대인프라코어는 16일 각각 경기도 분당 HD 현대 글로벌R&D센터와 인천 HD 현대인프라코어 본사에서 열린 임시 주주총회에서 합병계약 체결 승인 안건이 각각 참석 주주 99.91%, 99.24%의 찬성으로 통과됐다고 밝혔다. 이와 함께 합병법인의 사명은 HD 건설기계로 확정됐다. 양사는 10월 10일까지 주식매수청구권 행사 기간을 거쳐 내년 1월 합병법인 HD 건설기계로 공식 출범할 예정이다. 앞서 지난 7월 1일 양사는 합병을 발표했다. 글로벌 경기의 불확실성 지속과 업계 경쟁이 심화하는 상황에서 시장의 요구에 기민하게 대처하고 미래 기술력 및 원가 경쟁력을 확보하기 위해 합병을 추진한다고 밝혔다. 세계 최대 의결권 자문사인 ISS 는 이번 합병 안건에 대해 찬성 권고를 내린 바 있다. 합병법인 HD 건설기계는 주력 사업인 건설장비를 비롯해 엔진, 애프터 마켓( AM ) 등 사업 전 영역의 고른 성장을 통해 오는 2030년 글로벌 톱티어 수준인 매출 14조8000억원 이상을 달성한다는 목표다. 특히 일원화된 의사결정 체계를 통해 △근원적 경쟁력 강화 △수익원 다변화 △미래 성장 동력 확보에 집중하겠다는 방침이다. HD 현대 건설기계부문 관계자는 “합병 안건 찬성으로 합병법인에 대한 신뢰와 기대를 보여주신 주주 여러분께 깊이 감사드린다”며 “국가대표 건설기계 기업으로서 대한민국 건설기계 산업 발전의 새로운 이정표를 세워 나가겠다”고 말했다. [사진1] 16일(화) 인천 HD 현대인프라코어 본사에서 열린 ‘ HD 현대인프라코어 임시 주주총회’에서 의장인 오승현 사장이 총회를 진행하고 있다."
"HD현대중, KDDX 수의계약 ‘성큼’ 다가왔지만...상생안에 또 제동",https://n.news.naver.com/mnews/article/119/0003003663,"방사청 18일 분과위 안건 상정 보류...결론 다시 연기 한화오션 참여 보장 두고 상생 협력안 보완 요구 7조8000억 투입 차세대 구축함 사업 ‘2년째 표류’ 한국형 차기 구축함 조감도( KDDX ) ⓒ HD 현대중공업 [데일리안 = 백서원 기자] 차세대 한국형 구축함( KDDX ) 사업자 선정 절차가 또다시 제동이 걸렸다. 당초 기본설계를 수행한 HD 현대중공업이 사실상 유력하다는 평가 속에 한화오션과의 상생 협력안도 가닥을 잡아가던 상황이었다. 그러나 방위사업청이 오는 18일 예정됐던 방위사업기획·관리분과위원회(분과위) 안건 상정을 보류하면서 최종 결론은 다시 한 차례 뒤로 미뤄졌다. 16일 업계에 따르면 방사청은 이날 출입기자단 공지를 통해 “ KDDX 사업 추진 간 상생협력 방안에 대한 추가 검토를 위해 이번 주 목요일 제130회 분과위 안건으로 상정하지 않기로 했다”고 밝혔다. 이에 따라 이달 30일 방위사업추진위원회(방추위)에서 최종 사업자를 확정하려던 일정도 차질이 불가피해졌다. 이번 결정은 단순한 절차 지연이 아닌, 상생안의 구체성을 더 보완하라는 외부 요구가 반영된 결과로 풀이된다. 최근 방사청은 기본설계를 맡은 HD 현대중공업과 수의계약을 추진하되, 상세설계 과정에 한화오션이 일부 협력하고 후속함 건조에도 참여 기회를 보장하는 절충안을 마련한 상태였다. 이 같은 방안에 대해 양사 역시 공감대를 형성하고 있었다. 그러나 일각에서 상생안의 보완이 부족하다는 지적이 제기되면서 최종 결정을 앞두고 정부 차원의 추가 검토가 이뤄졌다는 해석이 나온다. 국회 일부 의원들도 협력업체 생태계를 고려한 상생책 마련을 요구해왔다. KDDX 는 2030년까지 총 7조8000억원을 투입해 6000톤(t)급 이지스급 구축함 6척을 건조하는 초대형 국책사업이다. 개념설계는 한화오션, 기본설계는 HD 현대중공업이 담당했고 현재는 상세설계와 초도함 건조 단계 진입을 앞두고 있다. 하지만 양사가 고소·고발을 주고받으며 경쟁이 과열되면서 절차는 2년 가까이 지연됐다. 그간 방사청은 기본설계를 맡은 HD 현대중공업과 수의계약을 체결하는 방안을 유력하게 검토해왔다. 기술 연속성과 일정 안정성 측면에서 합리적이란 점에서다. 지난달 열린 KDDX 기술자문위원회에서도 다수 전문가가 “기본설계와 상세설계를 동일 업체가 맡는 것이 타당하다”는 의견을 제시한 것으로 전해졌다. 그럼에도 일부 민간위원들은 여전히 “공정성을 위해 공개 경쟁 입찰이 필요하다”는 입장을 굽히지 않고 있어 논의는 교착상태를 반복해왔다. 이에 절충안으로 상세설계 일부 과정에 한화오션을 참여시키고, 후속함 건조 기회를 주는 방안 등이 거론되고 있는 것이다. 사업 안정성과 공정성을 모두 고려한 방안이란 분석이 제기된다. 업계 안팎에선 양사가 협력 방향에 공감대를 넓혀가고 있는 만큼 더 이상 지연은 곤란하다는 목소리도 커지고 있다. 특히 국제 해양안보 환경은 속도전을 요구한다. 미국이 ‘마스가( MASGA ·미국 조선업을 다시 위대하게)’ 프로젝트를 본격화하며 조선산업을 전략산업으로 끌어올린 만큼 한국 역시 KDDX 같은 차세대 전력화 사업을 더 늦출 여유가 없다는 것이다. 업계 한 관계자는 “기본설계를 수행한 HD 현대중공업에 상세설계 및 선도함 건조를 맡기고 상세설계 일부과정에 한화오션을 참여시켜 후속함 수주를 보장해주는 방안과 취지에 대해 원론적으로 공감한다”며 “어느 방식이든 빠르게 사업이 진행돼 추가적인 전력화 지연을 막아야 한다”고 밝혔다."
"포스코퓨처엠, '나눔의 달' 맞아 임직원 봉사활동 펼쳐",https://n.news.naver.com/mnews/article/277/0005652843,"이달 말까지 사업장 소재지서 1000여명 참여 포스코퓨처엠은 특별 봉사활동 기간인 '나눔의 달'을 맞아 한달간 전국 사업장에서 다양한 봉사활동을 진행한다고 16일 밝혔다. 엄기천 포스코퓨처엠 사장(사진 오른쪽)이 직원들과 16일 경북 포항 청림해변에서 해변 정화활동을 펼치고 있다. 포스코퓨처엠 포스코퓨처엠은 이차전지 소재사업 본격화 이후 지역사회에 더욱 기여하고 함께 성장하자는 취지로 2023년부터 매년 하반기 한 달 동안을 포스코퓨처엠 봉사활동 기간으로 정해 운영 중이다. 올해 나눔의 달 봉사활동은 9월 한달간 지속가능한 환경보호, 미래세대 지원, 지역사회 공생가치 창출을 주제로 경북 포항, 전남 광양, 세종, 서울 등 전국 사업장에서 임직원 1000여명이 참여한다. 포항 본사에서는 지역아동센터 어린이들의 문화체험 지원을 위해 함께 도자기를 제작하고 사업장 인근 청림해변에서 해양 쓰레기 수거 활동을 진행했으며, 중증장애인 생활시설을 방문해 환경정화 활동을 실시할 예정이다. 광양에서는 태인동 수변공원에서 환경정화 활동을 실시하고 독거노인 주거지를 방문해 도배 및 청소 봉사활동을 진행했다. 세종에서는 세종 청소년문화센터 및 사업장 주변에서 쓰레기를 수거해 환경을 정화했으며, 서울에서는 수서 명화종합사회복지관을 방문해 어르신들을 위한 배식 및 도시락 배달 봉사활동을 실시했다. 포스코퓨처엠은 어린이 환경교육 프로그램인 '푸른꿈 환경학교'와 지역 연고 프로축구 구단과 연계한 '푸른꿈 축구교실'을 운영 중이며 취약계층 생필품 지원사업인 '푸드충전소 ', 독거 노인 가정을 방문해 빵을 나누는 '행복빵빵' 등 지역사회와 함께 성장하기 위한 다양한 사회공헌 활동을 펼치고 있다."
"삼성SDS-아이테르, 기업 내 미술전시의 새로운 지평 열다",https://n.news.naver.com/mnews/article/008/0005251293,"삼성 SDS (대표이사 사장 이준희)와 아트 기획 그룹 아이테르( AITHER, 대표 공명성)가 임직원들의 창의적 복지와 문화 향유 확대를 위해 기업 내 미술관 프로젝트 '회사에서 만난 미술관'을 본격적으로 선보였다. 이번 프로젝트는 삼성 SDS 잠실 본사, 판교, 상암, 수원 등 5개 캠퍼스에 걸쳐 단계적으로 진행되며, 사옥 공간을 미술사적 전시장으로 꾸며 직원들이 일상 속에서 고전과 근대의 주요 작품을 접할 수 있도록 기획됐다. 공명성 대표/사진제공=아이테르 전시는 바로크부터 후기 인상주의까지 주요 작업 60점을 선별하여 선보이며, 서양미술사의 큰 흐름을 이해할 수 있도록 구성됐다. 또한 연계 세미나 프로그램에서는 현대미술의 담론인 관계미학( Relational Aesthetics )까지 이어지는 내용을 다루며, 미술사적 경험과 비평적 사유를 동시에 확장한다. 전시와 세미나는 오는 19일까지 진행된다. 삼성 SDS 는 최근 'AI ·클라우드 기반 글로벌 IT 서비스 선도 기업'으로 주목받으며, 첨단 기술 혁신과 더불어 기업 문화 혁신에도 앞장서고 있다. 이번 협업은 단순한 전시를 넘어, 예술을 통해 직원들의 창의적 사고를 자극하고, 조직 내 활발한 소통을 이끌어내는 새로운 기업 복지 모델로 평가된다. 아이테르는 작품 감상과 더불어 매일 2회 진행되는 도슨트 프로그램, 점심시간 미니 세미나, 디지털 사이니지 연계 콘텐츠 등을 통해 임직원과 미술사의 맥락을 직접 체험할 수 있도록 구성했다. 이를 통해 삼성 SDS 는 '업무 공간을 넘어 창의적 에너지가 흐르는 문화 플랫폼'으로 자리매김하고 있다. 공명성 아이테르 대표는 ""기업의 업무 공간 속에 예술을 불러들이는 것은 단순한 복지를 넘어, 브랜드 경험과 사회적 가치 창출로 확장될 수 있는 모델""이라며 ""삼성 SDS 와 함께한 이번 사례가 다른 기업들에게도 새로운 가능성을 제시하길 바란다""고 전했다. 이번 협업은 기업이 예술을 통해 조직 문화 혁신과 ESG 경영 가치를 실현할 수 있다는 점에서 업계의 주목을 받고 있다. 삼성 SDS 는 앞으로도 예술·문화 프로그램을 통한 임직원 복지 강화를 이어갈 계획이며, 아이테르는 이를 기반으로 다양한 기업 맞춤형 아트 프로그램을 제안할 예정이다."
