title,link,content
"영유아 전용 '패딩' 열풍 …“성인용 축소판으론 경쟁력 없어""",https://n.news.naver.com/mnews/article/018/0006171484,"'오로라패딩' 등 글로시 아동패딩 인기 SNS 접하는 연령대 낮아지며 일종의 '유행' 만들어져 아동복 브랜드들, 5~8세 타깃 전용제품 선봬 ""철저한 소비자 조사 통해 디자인 등에 반영"" [이데일리 김지우 기자] “오로라패딩 90 사이즈 구해요” “네이버에 오로라패딩 사이즈 재입고됐어요” 온라인상에 부모들이 자녀를 위한 특정 패딩 상품을 찾는 글들이 게재되고 있다. 오로라패딩은 홀로그램과 은은하고 비현실적인 무지개빛 광채가 더해진 디자인의 패딩이다. 베베드피노, 로엠걸즈 등 여러 브랜드에서 오로라패딩을 선보이고 있다. 오로라패딩은 5~8세 여아층을 타깃으로 한 제품이다. SNS 상에 ‘여아패딩’을 검색하자 나타난 제품들(사진=인스타그램 캡처) 25일 패션업계에 따르면 키즈시장에서도 개인의 취향을 반영한 디자인 제품을 출시하기 시작했다. 과거 부모가 일방적으로 자녀의 제품을 골라주던 시대에서 벗어나 이제는 자녀의 의견과 취향이 구매 결정에 중요한 영향을 미치는 시대가 됐다는 설명이다. 대표적인 예로 이랜드리테일이 운영하는 로엠걸즈의 오로라패딩은 아동복 온라인 플랫폼 ‘키디키디’에 선발매 후 온라인 1차 물량이 완판됐다. 11월(1~19일) 매출은 전년동기 대비 20% 증가했다. 이 제품은 공주 감성의 홀로그램 효과와 오로라 빛깔을 더한 것이 특징이다. 로엠걸즈가 가성비 전략을 택한 것도 주효했다. 가격은 7만원대로, 통상 아동 패딩 가격이 10만원대 중후반에서 20만원대인 것에 비하면 저렴한 수준이다. 또한 겨울 아우터 특성상 세탁이 어렵다는 점을 고려해, 물티슈로만 닦아도 지워지는 소재를 적용했다. 로엠걸즈 관계자는 “오로라패딩은 공주 드레스, 유니콘, 반짝이는 장난감 등을 좋아하는 여아들의 감성에 맞춘 디자인”이라며 “상품기획자가 온라인몰, 소셜미디어( SNS )상의 댓글 등 조사를 통해 소비자 의견을 적극 반영하고 있다”고 말했다. 아동모델이 로엠걸즈 오로라패딩을 착용한 모습 (사진=이랜드리테일) 아동복 브랜드 ‘베베드피노’의 오로라패딩도 일부 사이즈가 빠르게 품절되는 등 소비자부터 호응을 얻고 있다. F&F (383220)가 운영하는 MLB 키즈도 25FW 시즌을 맞아 여아들을 위한 ‘걸스 프리즘다운’을 출시했다. 이 제품 역시 글로시한 광택 소재로, 빛에 따라 반짝이는 원단이 적용됐다. 디스커버리 키즈도 글로시 숏패딩을 출시하며 시장 경쟁에 뛰어들었다. 네파키즈, 탑텐키즈, 블랙야크키즈 등 주요 아웃도어·캐주얼 브랜드 역시 줄줄이 고광택 패딩 신제품을 내놨다. 이같은 현상은 단순한 유행을 넘어 아동복 시장의 변화를 보여준다. 키즈 패션 업계에서는 최근 몇 년간 아동 소비층의 ‘직접 선택 비중’이 증가했다고 말한다. 유튜브·틱톡 등 숏폼 플랫폼에서 형성된 시각적 취향이 구매로 이어지면서, 브랜드들은 성인 라인의 축소판이 아닌 ‘키즈 전용 컬러’를 기획하는 추세라는 설명이다. 업계 관계자는 “과거에 비해 SNS 를 접하는 연령대가 낮아지면서, 미취학 아동에게도 개인 선호가 강해지고 있다는 부모 고객들의 후기가 늘고 있다”면서 “5~8세 주니어(아동) 제품에 티니핑 등 캐릭터·공주풍 디자인을 적용하고 있고, 그 이상의 연령대부터는 성인 패딩과 비슷한 디자인을 적용하고 있다”고 말했다."
"중화동 모아타운, 이주 앞두고 ‘날벼락’…오세훈 “공급 막는 자가당착”",https://n.news.naver.com/mnews/article/119/0003029477,"10·15 대책으로 LTV 축소…조합원 이주 불발 위기감 고조 조합 설립 수 조합원 지위 양도 제한…“조합원 퇴로 막혀” 오세훈 “ LTV 한시 유예 건의…국토부, 긍정적 답변 아직” 서울시 중랑구 중화동 일대 모아타운 전경.ⓒ데일리안 임정희 기자 [데일리안 = 임정희 기자] #. 서울 중랑구 중화동에서 추진되는 모아타운 사업지 조합원인 A씨는 10·15 대책 발표 후 수도권 외곽으로 전셋집을 구해야 하는 처지에 놓였다. 담보인정비율( LTV )이 기존 70%에서 40%로 급격히 낮아짐에 따라 이주비가 1억원으로 줄어들어 서울에서 전셋집을 얻기가 어려워졌다. #. 경기도 남양주시에 위치한 노후 주택을 소유 중인 조합원 B씨는 다주택자에 대한 규제로 이주비 대출 이용이 어렵게 됐다. 현재 남양주시 소재 주택에는 연로하신 부모님께서 거주 중이어서 쉽게 주택을 팔 수도 없어 고민이 깊다. 뉴타운·재정비촉진구역 지정과 해제로 20년 간 답보상태였던 중화동 일대가 모아타운으로 정비사업에 속도를 내고 있지만 조합원 이주를 앞두고 대출 규제가 강화되면서 우려가 커지고 있다. 조합원들은 이주비 대출에 어려움을 겪으면서 사업이 지연될 위기에 처했다고 입을 모으며 규제 완화 방안이 마련돼야 한다고 목소리를 높이고 있다. 오세훈 서울시장은 25일 서울 중랑구 중화동 329 모아타운 사업지를 방문해 주민들을 만나 “중화동은 모아타운으로 지정된 이후 아주 빠른 속도로 진도가 나갔던 지역”이라면서도 “10·15 대책 발표 이후 많은 어려움에 봉착해 있다”고 지적했다. 현재 서울시가 추진 중인 모아타운 사업지는 116곳이다. 중랑구는 그 중에서도 16곳, 2만3845가구 규모의 모아타운이 집중된 지역으로 꼽힌다. 오 시장이 이 날 방문한 중화동 329 모아타운도 지난 2023년 대상지로 선정된 이후 평균 4년이 걸리는 절차를 단축해 2년 3개월 만에 통합심의를 완료하며 주택공급 기반을 마련했다. 서울시는 앞으로도 사업시행인가부터 이주, 착공 등 전 단계에 걸친 철저한 공정관리로 사업 기간을 총 7년까지 줄이고 오는 2030년 2801가구 규모의 주택을 준공하겠단 목표를 세웠다. 오세훈 서울시장이 25일 서울 중랑구 중화동 모아타운 사업지를 방문해 주민들과 간담회를 진행하고 있다.ⓒ데일리안 임정희 기자 문제는 정부가 지난달 발표한 10·15 부동산 대책으로 조합원들이 이주비 대출 제한으로 사업 추진 동력이 떨어질 위기라는 점이다. 이 날 간담회에 참석한 주민들은 속도감 있는 주거 환경 개선과 함께 이주의 어려움을 해소해 달라고 호소했다. 한 조합원은 “지난 2003년 뉴타운에 지정된 후 불발되면서 주거 환경이 전혀 개선되지 않고 있다”며 “모아타운에 기대감이 큰 데 정부가 규제를 하면 주거 환경을 개선할 수 없다”고 답답함을 표출했다. 이어 “계란 한 판 팔고 자동차 운전해서 집 한 채 마련한 저희가 어떻게 투기 세력이냐”고 목소리를 높였다. 또 다른 조합원은 “1주택자는 LTV 가 40%로 축소됐다”며 “1+1 분양을 신청한 조합원들도 정부 대책으로 LTV 가 0%로 떨어져 이주할 금액이 없는 상황”이라고 설명했다. 오 시장은 주민들의 의견에 공감하며 “대출을 틀어막는 점이 이해 가지 않는 부분”이라고 지적했다. 그러면서 “모아타운만의 문제가 아니라 서울 곳곳에서 이뤄지고 있는 재개발·재건축이 이런 암초를 만났다”며 “이주를 앞두고 대출 규제 문제를 풀어주지 않으면 한 치 앞도 나갈 수 없다”고 강조했다. 특히 정부 대책에 대해 “공급 진도가 나가지 않게 하는 건 자가당착이고 모순”이라며 “이 문제는 금융당국과 협의가 이뤄져야 하는데 전세로 가는 것도 막고 집을 팔고 사는 것도 막아야 하는 행정 목표를 가지고 있다 보니 협의가 쉽지 않다”고 답했다. 그는 “지금까지 국토부에서 긍정적인 답변을 하지 않는다”면서도 “조만간 김윤덕 국토교통부 장관을 뵙게 되면 LTV 적용을 한시적으로 유예하거나 예외 사유를 인정해 금융을 융통할 수 있도록 건의하겠다”고 말했다. 조합원 지위 양도가 이뤄질 수 있도록 해달라는 건의도 나왔다. 한 주민은 “2-6구역은 조합 설립 마지막 최종 단계까지 왔는데 조합원 지위 양도 제한이 큰 이슈가 되고 있다”고 말했다. 이와 관련해 오 시장은 모아타운은 재개발과 달리 조합 설립 때부터 조합원 지위 양도가 금지된다”며 “금융기관으로부터 대출을 받는 문제는 정부가 방침만 바꾸면 되는데 조합원 지위 양도는 법령을 바꿔야 한다”고 설명했다. 그러면서 “국회의 다수 의석을 갖고 있는 정당이 방침을 바꿔줘야 법안을 만들고 통과시키는데 서울시로서는 할 수 없는 일”이라며 “국토부 장관께 정부 입법을 통해 조합원 지위 양도를 할 수 있게 해 달라고 부탁드렸다”고 덧붙였다. 한편 국토부와 서울시는 주택공급 확대를 위해 실무 협의체를 구성한 바 있다. 지난 13일 김 장관과 오 시장 면담 후 21일 실무협의체가 꾸려져 첫 번째 회의를 개최했고 주택공급 기반 마련에 대한 논의를 이어갈 계획이다."
佛서 '성인용 인형' 판매로 논란일으킨 中쉬인…韓서 법률담당자 채용나서,https://n.news.naver.com/mnews/article/003/0013621008,"[파리= AP/ 뉴시스] 중국계 전자상거래 플랫폼 쉬인이 아동과 유사한 외형의 성인용 인형을 판매한 사실이 알려지면서 프랑스 정부가 5일(현지 시간) 해당 플랫폼의 사용 중단 절차에 착수했다. 쉬인이 입점한 파리 도심 BHV 마레 백화점 밖에서 시위대 모습. 2025.11.06 [서울=뉴시스] 이혜원 기자 = 중국의 패스트패션 플랫폼 업체 쉬인( SHEIN )이 프랑스에서 '성인용 인형' 판매로 곤혹을 치른 가운데, 국내에서도 법률담당자(사내 변호사) 채용에 나서며 법적 리스크를 차단하려는 모습이다. 25일 업계에 따르면 쉬인은 현재 한국 선임 법률담당자( Senior Legal Counsel )를 채용 중이다. 쉬인 측은 ""이커머스 플랫폼과 관련한 법률 업무를 담당하기 위한 선임 담당자를 채용 중""이라며 ""플랫폼 규정 준수 등 비쟁점적인 법적 문제에 대해 국내 비즈니스 팀 등을 지원하게 될 것""이라고 설명했다. 변호사 등 자격 취득 8~12년의 경력과 최소 4년의 사내 법률 상담 경력을 지닌 사람이면 지원할 수 있고, 전자상거래 및 물류 필드의 경험을 우대한다고 덧붙였다. 쉬인은 최근 프랑스 내 온라인 쇼핑물에서 어린이를 연상시키는 성인용 인형을 판매해 물의를 일으켰다. 이에 프랑스 공정경쟁감시국은 쉬인을 아동 포르노 배포·판매 혐의로 고발했고, 정부는 법원에 사이트 접속 차단 조치를 요청했다. 쉬인 측은 프랑스 내 일부 독립 판매자 제품의 거래를 일시 중단하고, 조사에 적극 협조하겠다는 입장을 밝혔지만, 프랑스 당국은 플랫폼 사용 중단 절차에 착수한 상태다. 한편 쉬인은 지난달 국내 종합몰 앱 이용자 수 기준 8위를 기록하며 톱8 순위에 새로 진입했다. 와이즈앱·리테일에 따르면 지난달 쉬인 사용자 수는 282만6876명으로 전월 대비 11.0% 증가했다."
하루 430억…日 이세탄百의 '단청회 전략',https://n.news.naver.com/mnews/article/015/0005215854,"비즈 스토리 신주쿠 본점, 휴점일 VIP 만 초청 명품 브랜드 희귀 상품 공급 샴페인·공연 등 차별화 경험도 VIP 힘입어 매출 4조 돌파 韓 백화점도 도입 확대 나서 하루 46억엔(약 430억원). 일본 도쿄에 있는 이세탄백화점 신주쿠 본점이 지난 1월 일반 고객의 출입을 막고 VIP 만 초청해 연 ‘단청회(丹青会·단세이카)’ 행사에서 올린 매출이다. VIP 전략에 힘입어 지난해 매출 4000억엔을 돌파했다. 국내 백화점들도 e커머스의 공세 속에서 VIP 영업을 강화하며 ‘한국형 단청회’를 시도하고 있다. ◇ 연 2회 300만엔 이상 구매 고객만 초청 25일 유통업계에 따르면 이세탄백화점 신주쿠 본점은 연 2회 단청회를 연다. 봄과 가을 시즌에 맞춰 하는데 가장 최근엔 지난 9월 5일 열렸다. 단청회는 연간 300만엔 이상을 쓴 고객만 출입할 수 있다. 지난봄 열린 단청회에는 1만8000개 팀의 VIP 가 방문한 것으로 알려졌다. 이세탄은 이날을 위해 에르메스, 루이비통 등 글로벌 명품 본사와 협의해 차별화 제품을 공수한다. 수백만엔대 코트, 수억엔 상당의 보석 등 각 브랜드가 단청회만을 위해 상품을 공급한다. 매장은 쇼핑몰이 아니라 거대한 연회장으로 변신한다. 계절감을 살린 화려한 장식과 라이브 연주, 최고급 샴페인을 제공한다. VIP 고객에게 쇼핑 그 이상의 ‘비일상적 경험’을 제공하는 것이다. 이세탄이 단청회에 힘을 주는 것은 VIP 매출 비중이 커지고 있어서다. 초청 대상이 되는 VIP 의 연간 매출 총합은 2120억엔(약 1조9000억원)으로 이세탄미쓰코시홀딩스그룹 백화점 사업 매출의 16% 이상을 차지한다. 단청회 등 VIP 실적에 힘입어 이세탄백화점 신주쿠 본점의 매출은 2024회계연도(2024년 4월 ~2025 년 3월) 기준 4212억엔으로 전년 동기(3758억엔) 대비 12.08% 급증했다. 단청회 흥행의 배경으로 일본 내 ‘슈퍼리치’의 자산 구조 변화가 꼽힌다. 부동산 중심이던 부유층 자산이 증시 활황을 타고 금융 자산으로 이동하며 즉시 현금 동원이 가능한 자산가가 급증했다. ◇ 국내 백화점도 VIP 마케팅 강화 국내 백화점도 한국형 단청회를 시도하고 있다. 롯데백화점은 2023년부터 정기 휴점일에 VIP 고객을 초청하는 ‘더 프라이빗’ 행사를 한다. 서울 본점, 잠실점 등 주요 점포에서 열리는 이 행사는 공연, 투어, 식음 등 파티형 콘텐츠도 제공한다. 2021년부터는 까르띠에, 반클리프아펠 등 하이엔드 주얼리 브랜드와 손잡고 독점 행사를 열고 있다. 갤러리아는 정기 휴점일에 ‘프레스티지데이’(P데이)를 운영한다. 현대백화점은 VIP 고객 400여 명을 별도로 초청해 신라호텔에서 ‘프라이빗 파티’를 연다. VIP 전용 플랫폼도 나왔다. 신세계백화점의 VIP 큐레이션 e커머스 플랫폼 ‘더 쇼케이스’가 대표적이다. 올해 1월부터 10월까지 더 쇼케이스 이용 VIP 고객의 평균 객단가는 약 2000만원으로 집계됐다. 같은 기간 일반 명품 카테고리 객단가(약 300만원)의 일곱 배 수준이다. 유통업계 관계자는 “일본 이세탄의 성공 사례는 VIP 비즈니스의 핵심이 차별화 경험에 있음을 보여준다”며 “한국 VIP 시장도 초개인화 서비스와 라이프스타일 큐레이션 경쟁으로 진화할 것”이라고 말했다."
"""글로벌 럭셔리 큰손은 중동…여행·미식·주얼리 급성장""",https://n.news.naver.com/mnews/article/015/0005215853,"베인앤드컴퍼니 럭셔리 시장 분석 명품가방보다 고급호텔 선호 주얼리 성장률 4~6% '최고' 명품 시장의 소비 트렌드가 경험, 주얼리, 중동으로 옮겨가고 있다는 분석이 나왔다. 25일 유통업계에 따르면 베인앤드컴퍼니는 최근 ‘2025 글로벌 럭셔리 시장 연구’란 제목의 보고서에서 올해 세계 명품 소비액이 1조4400억유로로 전년과 비슷한 수준일 것으로 전망했다. 외형적으론 안정적인 모양새지만 소비 패턴과 지역별 성장축, 카테고리별 흐름에선 뚜렷한 재편이 진행되고 있다는 것이 보고서의 핵심 진단이다. 우선 소비자의 관심이 명확하게 ‘경험’으로 이동하고 있는 점이 눈에 띈다. 가죽 제품과 의류 등 전통적인 명품의 주력 상품보다 여행과 호텔, 미식이 새로운 럭셔리 소비의 트렌드로 떠올랐다. 베인은 이를 “경험 중심 지각변동”이라고 표현했다. 파인다이닝, 크루즈, 사파리 등 체험형 럭셔리가 급성장하면서 시장을 떠받쳤다는 설명이다. 젊은 소비자층이 더욱 뚜렷하게 이런 전환을 이끌고 있다는 점도 이번 보고서에서 눈에 띄는 부분이다. 판매 상품 중에선 주얼리의 성장세가 단연 돋보였다. 올해 시장이 4~6% 커질 것으로 예상됐다. 모든 명품 부문 가운데 가장 높은 증가율이다. 정서적 가치, 내구성, 맞춤형 디자인 트렌드가 겹쳐 불확실한 소비 환경에서도 수요가 흔들리지 않았다. 반면 가죽 제품은 역성장했고, 신발은 스포츠 브랜드와의 경쟁이 맞물려 상대적으로 부진했다. 지역별로는 중동이 가장 두드러졌다. 아랍에미리트( UAE ) 두바이·아부다비를 중심으로 관광 수요와 현지 고소득층 소비가 증가한 영향이다. 세계 최대 명품 소비국인 중국이 -3~-5 %로 역성장하고, 일본과 유럽도 둔화하는 상황에서 중동은 사실상 글로벌 명품 시장의 유일한 ‘성장축’이 됐다. 소비자 기반 축소는 명품 시장의 구조적 위험 요인으로 꼽혔다. 전 세계 명품 소비자는 2022년 4억 명에서 올해 약 3억4000만 명으로 줄어든 것으로 추산됐다. 베인은 “활성 명품 소비자가 전체 가능한 고객군 대비 60%에서 40~45%로 줄어들었다”며 “소비자의 지출이 중고 거래, 아울렛, 소형 제품 등 가치 중심으로 이동하고 있다”고 분석했다."
"""다이소·편의점 고맙다""…건기식 2년 만에 반등",https://n.news.naver.com/mnews/article/015/0005215852,"저가 건기식 시장 공격적 침투 올해 시장 규모 6조원 육박할 듯 국내 건강기능식품 시장이 다이소, 편의점 등 오프라인 유통업체의 ‘저가 경쟁’에 힘입어 반등하고 있다. 25일 한국건강기능식품협회에 따르면 올해 국내 건기식 시장은 약 5조9626억원으로 전년 대비 0.2% 커진 것으로 추산됐다. 2022년 6조1498억원으로 고점을 찍은 뒤 2년 연속 줄어들다가 올해 다시 증가세로 돌아섰다. 건기식 시장이 살아난 것은 다이소, 편의점 등 오프라인 채널에서 판매 경쟁이 치열해진 영향이다. 협회 관계자는 “대형 할인점과 드러그스토어 등 오프라인 채널 매출이 늘어 시장 규모가 커졌다”고 말했다. 다이소는 지난 3월 3000원 ·5000 원 균일가 건기식 상품을 내놓으며 가장 적극적으로 시장을 공략했다. 출시 당시 30여 종이던 상품은 최근 90여 종으로 다양해졌다. 입점 브랜드 역시 3개에서 13개로 늘었다. 편의점 3사도 저가 건기식 시장에 본격적으로 뛰어들었다. CU 는 지난 7월 말부터 전국 6000여 개 매장에서 건기식을 판매하기 시작했다. GS25 는 8월부터 5000원 이하 건기식 상품을 전국 5000여 개 매장에서 선보였다. 세븐일레븐도 지난 19일 대웅제약과 손잡고 건기식 12종을 출시했다. 편의점은 다이어트 보조제, 피로회복제 등 세대·지역별로 상품을 세분화해 다이소와 차별화하고 있다. 유통업계 관계자는 “건기식은 신상품이 기존 상품 매출을 잠식하는 ‘카니발리제이션’ 현상이 거의 없다”며 “적극적인 판매 전략을 짜볼 만한 상황”이라고 말했다. 건기식 수요가 늘자 제조업체들은 공장 증설을 추진하고 있다. 노바렉스는 최근 618억원을 들여 충북 오송에 공장을 신설하겠다고 발표했다. 유유헬스케어는 강원 횡성에 175억원을 들여 건기식을 생산하는 제2공장을 설립할 계획이다."
"신현준, ‘각집부부’에서 직접 만든 ‘통곡물 파로면 건강라면’ 화제",https://n.news.naver.com/mnews/article/029/0002995586,"사진 출처= 각집부부 캡처 배우 신현준이 tvN STORY 예능 프로그램 ‘각집부부’ 최종회에서 아이들을 위해 준비한 ‘통곡물 파로면 건강라면’이 시청자들의 이목을 집중시켰다. 20일 방송된 최종회에서는 신현준·김경미 부부가 ‘체인지 데이’를 보내는 모습이 공개됐다. 이날 신현준은 이른 아침부터 삼남매를 돌보며 “건강 전도사”다운 면모를 드러냈다. 영양소를 고려한 식단 구성과 영양제 관리 등 세심한 일상 케어가 시청자들의 관심을 끌었다. 사진 출처= 각집부부 캡처 특히 화제를 모은 장면은 신현준이 아이들에게 직접 건강 라면을 만들어주는 모습이었다. 그는 인스턴트 라면을 한 번 삶아 첫 물을 버려 기름기를 제거한 뒤, 통곡물 파로로 만든 파로면과 함께 다시 끓이고 라면 스프는 절반만 넣어 건강한 조리법을 완성했다. 패널들은 “맛이 밋밋해지지 않을까”, “아이들이 좋아할지 모르겠다”고 걱정했지만, 세 아이 모두 “엄청 맛있다”며 폭발적인 반응을 보였다. MC 문소리 역시 “국수를 좋아하는 남편에게 보내야겠다”며 높은 관심을 드러냈다. 이 날 방송에서 신현준은 건강 라면뿐 아니라 파로를 활용해 밥을 짓는 모습도 공개, 고대 곡물 파로에 대한 깊은 애정을 보여줬다. 한편, 방송에서 소개된 파로면은 고대 곡물 파로(엠머밀) 100%로 만든 면으로 알려졌다. 파로는 저당, 저탄수, 고단백질 곡물의 대표주자인 동시에, 식이섬유와 저항성 전분이 풍부해 혈당 급상승을 억제하고 포만감을 오래 유지하는 데 도움을 준다. 또한, 파로는 이탈리아 토스카나 지방을 중심으로 재배되고 있는 엠머밀 품종의 곡물이다. 특히 이탈리아 토스카나 지방의 기후와 파로 종자에 대한 보존 노력 등으로 인해 이 지역에서 생산되는 파로가 가장 우수하다고 알려져 있다. 이런 파로로 만든 파로면 중에서도, 일반 파로면과 달리, ‘브론즈 다이’ 공법을 적용한 수제 파로면은 표면이 거칠게 가공돼 양념 흡수율이 높고, 쫀득한 식감과 고소한 풍미를 자랑한다. 최근, 파로를 활용한 식품은 혈당 관리는 물론 깊은 맛까지 잡을 수 있는 차별화된 건강 식재료로 자리 잡으며, 소비자들 사이에서 필수 웰니스 아이템으로 빠르게 떠오르고 있다."
"CU, 쿠팡이츠로 배달·픽업 서비스",https://n.news.naver.com/mnews/article/015/0005215850,내달 전국 6000곳으로 확대 세븐일레븐도 내년 입점 예정 편의점 CU 가 쿠팡이츠를 통해 서울 1000개 매장에서 배달·픽업 서비스를 시작한다고 25일 밝혔다. 서비스 안정 기간을 거쳐 다음달 초 운영 점포를 전국 6000개로 늘릴 계획이다. CU 는 비대면 소비와 즉시 배송 수요가 늘면서 퀵커머스 매출이 크게 증가하자 퀵커머스 운영 점포를 1만 개로 확대했다. 이에 따라 CU 의 배달 매출은 올해 11월까지 전년 동기 대비 49.8% 증가했다. 같은 기간 픽업 매출도 48.5% 늘었다. CU 관계자는 “온라인커머스팀을 마케팅 총괄 부서 산하로 옮겨 마케팅 관련 팀의 시너지를 강화하고 있다”며 “차별화 전략으로 퀵커머스 경쟁력을 확보할 것”이라고 말했다. 세븐일레븐도 내년 쿠팡이츠 장보기·쇼핑에 입점할 예정이다. 이에 따라 쿠팡이츠에서 편의점 3사( GS25·CU· 세븐일레븐)의 배달·픽업 서비스를 사용할 수 있게 된다.
네이버·컬리의 '컬리N마트'…첫달 거래액 50% 뛰었다,https://n.news.naver.com/mnews/article/015/0005215849,네이버는 컬리와 합작한 ‘컬리N마트’의 지난달 거래액이 전월 대비 50% 이상 증가했다고 25일 밝혔다. 컬리N마트는 네이버에서 컬리의 신선식품을 구매할 수 있는 온라인 장보기 서비스로 지난 9월 출범했다. 무료배송 혜택 등을 받는 네이버 멤버십 사용자를 중심으로 거래액이 크게 늘었다. 김평송 네이버 컬리N마트 사업리더는 “멤버십 사용자 전용 혜택을 강화하고 데이터 기반 상품 큐레이션을 통해 단골 생태계를 확장할 계획”이라고 말했다.
"동아제약, 마이크로 웰니스 트렌드 겨냥 ‘바로’ 출시",https://n.news.naver.com/mnews/article/243/0000088588,"건강기능식품도 ‘조각관리’ 시대 셀파렉스 '바로' 이미지. [사진 동아제약] [이코노미스트 이승훈 기자] 아침 5분 명상으로 마음을 다스리고, 출근길에 한 정거장을 더 걸어가며, 책상 앞에서 3분 스트레칭으로 긴장을 푸는 소비자가 늘고 있다. 장시간 운동과 꾸준한 건강 관리가 부담스러운 현대인을 중심으로 일상 속 짧은 시간에 실천 가능한 ‘조각관리’가 확산되면서 마이크로 웰니스( Micro Wellness )가 새로운 시장 키워드로 부상하고 있다. 작은 단위의 행동은 진입장벽이 낮고 즉각적인 보상을 체감할 수 있어 루틴 형성을 촉진하며, 결국 장기적인 건강 유지로 이어질 수 있다는 점에서 많은 이들의 호응을 얻고 있다. 여기에 루틴을 SNS 챌린지 형태로 공유·확산하는 움직임까지 더해지면서 이를 시도하고 지속하는 소비자는 더욱 늘어날 것으로 전망된다. 동아제약은 지난 9월 CU 와 손잡고 8종의 건강기능식품 라인업 셀파렉스 ‘바로’를 출시하며 마이크로 웰니스 트렌드에 본격 합류했다. 셀파렉스 바로는 ▲즉효성 ▲휴대성 ▲즉시성을 핵심 가치로 설계된 것으로 알려졌다. 단기 섭취로도 부족함을 충분히 채울 수 있는 1000㎎의 비타민C, 마그네슘, 테아닌 등 단일 성분 중심으로 라인업을 구성했다. 섭취 방식 또한 하루 한 번, 5~10일분으로 설계해 소비자가 가볍게 시도하고 손쉽게 일상에 편입할 수 있도록 했다. 전국 3000여 개 CU 매장에서 구매할 수 있도록 한 점 역시 전략적이었다는 평가다. 업계에서는 이 같은 시도가 건강기능식품의 보편화를 이끄는 촉매 역할을 할 것으로 기대하고 있다. 셀파렉스 바로는 제품 브랜딩에도 공을 들이며 마이크로 웰니스 트렌드를 선도하는 세대를 겨냥했다. 패키지 전면 디자인부터 ▲루테인지아잔틴은 ‘눈호강’ ▲ MSM 은 ‘관절 케어가 관절해’ ▲칼슘·마그네슘·비타민D 복합 제품은 ‘약골탈퇴’ 등 밈( Meme )을 활용한 팝한 메시지로 젊은 소비자들의 시선을 사로잡는다. 동아제약 관계자는 “기존 건강기능식품과 달리, 셀파렉스 바로는 소비자가 실제로 필요로 하는 순간에 방점을 두고 커뮤니케이션한다”고 밝혔다. 실제로 이들 제품은 발표나 면접 전 긴장 완화, 장시간 운동 후 근육 피로 해소 등 즉시 조치가 필요한 상황별 활용법을 중심으로 마케팅 활동을 전개하고 있다. 관계자는 “셀파렉스 바로는 건강기능식품 시장에 새로운 기준을 제시하고, 더 많은 소비자가 쉽고 즉각적인 건강 행태를 경험하도록 만드는 계기가 될 것”이라 밝혔다."
