title,link,content
"두산건설, 두산위브 더 제니스 센트럴 천안 분양…견본주택 오픈",https://n.news.naver.com/mnews/article/421/0008624596,"지상 29층 ·10 개 동 ·1022 가구 규모 대단지 두산건설 '두산위브더제니스 센트럴 천안' 견본주택 예상 조감도 (두산건설 제공) 뉴스1 ⓒ News1 (서울=뉴스1) 오현주 기자 = 두산건설은 28일 '두산위브더제니스 센트럴 천안' 견본주택을 열고 분양에 나선다고 25일 밝혔다. 단지는 천안 동남구 청당동 일대에 지하 2층~지상 29층, 10개 동, 1022가구 규모로 조성된다. 공급 유형은 △전용 84㎡A(730가구) △전용 84㎡B(257가구) △전용 84㎡C(215가구)를 포함한 세 가지다. 모두 일반 분양 물량이다. 청약 일정은 12월 1일 특별 공급을 시작으로 같은 달 2일 1순위, 3일 2순위 청약이 진행된다. 당첨자 발표는 12월 9일이며, 정당 계약은 12월 22일부터 24일까지다. 단지는 남향 위주 배치에 4베이 판상형 구조(일부 세대 제외)를 적용했다. 인근에는 청당초등학교가 도보 약 5분 거리에 위치해 있다. 천안가온중학교, 천안 청수고등학교 등 중·고교도 가깝다. 견본주택에서는 두산건설 위브( We’ve ) 골프단과 연계한 방문객 이벤트도 진행된다. 29일에는 박혜준·박결·이율린·유효주 프로, 30일에는 임희정·김민솔·유현주 프로가 참석해 사인회와 기념 촬영을 진행한다."
호텔 리모델링해 청년 특화 공공 기숙사로…인천 논현동 ‘인천생활’,https://n.news.naver.com/mnews/article/028/0002778233,"LH , 7개 대학·협동조합과 운영협약 인천 남동구 논현동 공공기숙사 ‘인천생활’. LH 제공 대학가 인근 호텔이 리모델링을 거쳐 청년 특화 공공 기숙사로 탈바꿈했다. 한국토지주택공사( LH )는 25일 인천 남동구 논현동에 주거·교육·커뮤니티가 결합한 청년 특화 상생형 공공 기숙사 ‘인천생활’ 조성을 마쳤다고 밝혔다. 인천생활은 엘에이치와 지역 대학, 운영 기관이 협력해 마련한 첫 청년 특화 상생형 공공 기숙사다. 엘에이치가 2022년 코로나19의 확산으로 경영상 어려움을 겪던 호텔을 매입해 리모델링했다. 전용면적 19~22㎡ 총 230호 규모다. 이 기숙사는 지역 대학 재학생에게 안정적 주거와 커뮤니티 공간, 맞춤형 교육(취업·창업 등)을 제공할 수 있도록 조성됐으며 인천 지역 대학 7곳(인하대·인천가톨릭대·재능대·인천글로벌캠퍼스 한국뉴욕주립대·유타대 아시아캠퍼스·한국조지메이슨대·겐트대 글로벌캠퍼스)에 재학 중인 청년을 대상으로 우선 공급된다. 임대료는 인천 지역 대학가 인근 시세의 45% 이하로, 보증금 320만 ~420 만원에 월임대료 15만 ~20 만원 수준이다. 다음 달 입주자 모집 공고가 나오고, 입주와 운영은 내년 2월 개시될 예정이다. 엘에이치는 인천생활의 원활한 운영·지원을 위해 이날 사업 참여 대학 7곳 및 운영기관(어반업사이클링협동조합)과 업무협약( MOU )을 체결했다. 협약에 따라 엘에이치는 지역 대학 청년에게 인천생활을 저렴하게 공급해 안정적 주거지원을 돕고, 대학들은 입주 학생들에게 맞춤형 취업·진로·창업 프로그램을 제공한다. 운영기관은 입주자 모집과 운영·관리를 총괄한다. 서환식 엘에이치 인천지역본부장은 “상생형 기숙사는 지역대학과 공공, 사회적경제가 함께 만든 청년들의 새로운 성장 사다리”라며 “앞으로도 청년의 주거 안정과 도약을 지원할 수 있는 다양한 청년특화 사업을 발굴해 추진할 계획”이라고 말했다."
"""내년 수도권 집값 2∼3% 상승할 것…지방은 제자리""",https://n.news.naver.com/mnews/article/243/0000088586,"서울 시내 한 부동산중개업소. [사진 연합뉴스] 내년 수도권 집값이 2∼3% 상승할 것이라는 전망이 나왔다. 지방은 소폭 하락하거나 보합을 보일 것으로 예상됐다. 대한건설정책연구원 고하희 부연구위원은 25일 서울 동작구 신대방동 전문건설회관에서 열린 내년 건설·주택 경기 전망 세미나에서 이같이 진단했다. 수도권은 착공 감소, 프로젝트파이낸싱( PF ) 리스크, 3기 신도시 공사 지연 등 구조적 공급 부족이 이어지면서 2~3% 상승할 것으로 분석했다. 다만 지방은 인구·수요 기반 약화로 1% 내외 하락이나 보합 흐름이 나타날 가능성이 크다고 예상했다. 고 부연구위원은 올해 주택 시장은 전고점 회복 흐름 속에서 수도권과 지방 간 양극화가 더욱 심화했다고 평가했다. 그는 ""수도권은 매수 심리·거래·가격이 모두 회복됐지만, 지방은 미분양 누적과 수요 약세로 하락·정체가 이어졌다""고 설명했다."
'호반써밋 인천검단 3차' 28일 견본주택 개관,https://n.news.naver.com/mnews/article/417/0001115323,"호반산업이 오는 28일 '호반써밋 인천검단 3차' 견본주택을 오픈한다. 사진은 호반써밋 인천검단 3차 투시도 모습. /사진=호반그룹 호반그룹의 건설계열 호반산업이 오는 28일 인천 검단신도시에서 '호반써밋 인천검단 3차' 견본주택을 열고 분양에 돌입한다. 25일 호반산업에 따르면 호반써밋 인천검단 3차는 지하 2층~최고 29층 8개 동, 전용 84㎡ ·97 ㎡ 총 905가구 규모로 조성된다. 다음 달 4일 특별공급을 시작으로 5일 1순위, 8일 2순위 청약이 진행된다. 입주는 내년 12월 예정이다. 호반써밋 인천검단 3차는 분양가상한제가 적용된다. 인천지하철 1호선 연장선 아라역과 가까운 역세권 아파트다. 이번 분양은 호반그룹의 건설계열이 인천 검단신도시에서 네 번째로 선보이는 프로젝트다. 앞서 호반산업은 2018년 10월 '검단호반써밋1차(1168가구)'와 2019년 11월 '호반써밋프라임뷰(719가구)'를 각각 분양한 바 있다. 2023년 6월에는 호반건설이 '검단호수공원역 호반써밋(856가구)'을 선보였다. 이번 분양단지까지 더하면 인천 검단신도시에 3600가구가 넘는 호반 브랜드타운이 조성될 전망이다."
"LH, 청년 특화 상생형 공공기숙사 '인천생활' 운영 시작",https://n.news.naver.com/mnews/article/003/0013620955,"낮은 임대료에 취업·진로 맞춤형 교육 인천 대학생 우선 공급…12월 모집공고 [서울=뉴시스] 청년 특화 상생형 공공기숙사 '인천생활' 전경. (사진=한국토지주택공사 제공) 2025.11.25. photo @ newsis.com *재판매 및 DB 금지 [서울=뉴시스]정진형 기자 = 한국토지주택공사( LH )는 주거·교육·커뮤니티가 결합된 청년특화 상생형 공공기숙사인 '인천생활'을 조성하고, 본격적인 운영에 들어간다고 25일 밝혔다. 인천생활은 LH 와 지역대학, 운영기관이 협력해 마련한 첫 상생형 공공기숙사다. 지역대학 재학생에게 안정적인 주거와 커뮤니티 공간, 취업·창업을 위한 맞춤형 교육을 제공한다. 공급 호수는 총 110호(19~22㎡)이며, 인하대학교 등 인천 지역대학 7곳에 재학 중인 청년을 대상으로 우선 공급된다. 임대 조건은 대학가 인근 시세보다 저렴한 시중 가격의 45% 이하 수준으로, 보증금 320만 원 ~420 만 원, 임대료는 월 15만 원 ~20 만 원대다. 입주자 모집공고는 12월 시행될 예정이다. [서울=뉴시스] LH 는 '인천생활' 참여 지역대학(7곳) 및 운영기관인 어반업사이클링 협동조합과 25일 업무협약을 체결했다. (사진=한국토지주택공사 제공) 2025.11.25. photo @ newsis.com *재판매 및 DB 금지 인천생활의 원활한 운영·지원을 위해 LH 는 참여 지역대학(7곳) 및 운영기관인 어반업사이클링 협동조합과 업무협약을 체결했다. 협약에 따라 LH 는 지역대학 청년에게 인천생활을 저렴하게 공급해 안정적 주거 지원을 돕고, 지역대학은 입주 학생들에게 맞춤형 취업·진로·창업 프로그램을 제공한다. 운영기관인 어반업사이클링 협동조합은 입주자 모집과 운영관리를 총괄한다. 서환식 LH 인천지역본부장은 ""상생형 기숙사는 지역대학과 공공, 사회적경제가 함께 만든 청년들의 새로운 성장 사다리""라며 ""앞으로도 청년의 주거 안정과 도약을 지원할 수 있는 다양한 청년특화 사업을 발굴하여 추진할 계획""이라고 말했다."
“내년 수도권 집값 2~3% 상승”… 공급 부족에 상승 압력 유지,https://n.news.naver.com/mnews/article/022/0004085283,"23일 오전 서울 남산에서 서울 시내 아파트 대단지 모습이 보이고 있다. 뉴시스 내년 수도권 집값이 2∼3% 상승할 것이라는 전망이 나왔다. 구조적 공급 부족이 지속되면서 가격이 추가로 오를 가능성이 크다는 분석이다. 고하희 대한건설정책연구원 부연구위원은 25일 서울 동작구 전문건설회관에서 열린 ‘2025년 건설·주택 경기 전망 세미나’에서 “수도권은 착공 물량 감소, PF (프로젝트파이낸싱) 리스크, 3기 신도시 공사 지연 등이 겹치며 공급 축소 흐름이 계속되고 있다”며 이같이 밝혔다. 반면 지방은 인구 감소와 수요 약화로 1% 내외 하락 또는 보합을 보일 가능성이 크다고 내다봤다. 고 부연구위원은 올해 주택시장을 두고 “수도권과 지방 간 양극화가 더욱 뚜렷해졌다”고 평가했다. 그는 “수도권은 매수 심리와 거래, 가격 모두 회복세를 보인 반면 지방은 미분양 증가와 수요 부진으로 하락·정체가 이어졌다”고 설명했다. 이날 세미나에서는 내년 건설 경기 역시 제한적 회복에 그칠 것이라는 진단이 나왔다. 박선구 건설정책연구원 연구위원은 “금리 인하 기대와 PF 불확실성 완화, 공사비 안정 등 긍정적인 신호가 일부 나타나고 있다”면서도 “착공 감소, 지역 경기 격차, 강화된 안전 규제 등 제약 요인이 더 크다”고 분석했다. 그는 올해 건설 투자가 전년보다 9% 감소한 264조원 수준에 머문 뒤, 내년에는 2% 증가한 269조원으로 소폭 반등할 것이라고 전망했다. 전문건설업 계약액도 올해 7% 감소 후 내년 4% 증가하는 데 그칠 것으로 예측되며, 박 연구위원은 “공사 종류별 회복 속도 차이와 지방 중소업체의 경영 부담이 여전히 크다”고 평가했다."
다음달부터 D·E등급 2종 시설물도 정밀안전진단 의무화,https://n.news.naver.com/mnews/article/032/0003411030,"국토교통부.  경향신문 자료사진 다음달 4일부터 안전등급이 D·E 인 제2종 시설물도 의무적으로 정밀안전진단을 받아야 한다. 국토교통부는 25일 정부서울청사에서 열린 국무회의에서 이같은 내용이 포함된 시설물안전법 시행령 개정안이 의결됐다고 밝혔다. 이번 시행령 개정은 2023년 7월 정자교 붕괴 사고 재발 방지 대책으로 발표된 시설물 점검·진단 제도 개선의 하나로, 노후·취약 시설물 안전관리를 고도화하기 위한 것이다. 정부는 교량·터널·항만·댐·건축물 등 시설물의 규모와 중요도에 따라 1·2·3종으로 구분해 관리한다. 현행 법령은 제1종 시설물만 구조 안전성 평가가 포함된 정밀안전진단을 의무적으로 받도록 하고 있다. 개정 시행령이 시행되는 다음달 4일부터는 제2종 시설물 중에서 안전등급 D·E 를 받은 시설물도 정밀안전진단을 의무적으로 받아야 한다. 안전등급은 안전점검이나 정밀안전진단 결과에 따라 A(우수) ·B (양호) ·C (보통) ·D (미흡) ·E (불량) 등 5등급으로 부여된다. 또한 준공 후 30년 이상이 지난 C등급 2종 시설물과, C·D·E 등급 3종 시설물도 의무적으로 정밀안전진단을 받아야 한다. 현행 법령상 최대 5년으로 규정된 보수·보강 등 조치 의무 이행 기한은 다음달 4일부터 3년으로 단축된다. 붕괴 사고 등을 유발할 수 있는 시설물 결함을 조속히 조치하기 위해서다. 중앙시설물사고조사위원회(사조위)의 구성 요건도 완화된다. 현행 규정은 사망자가 3명 이상 발생한 사고에 대해 사조위를 구성할 수 있도록 정하고 있지만, 앞으로는 사망자가 1명 발생해도 사조위를 구성할 수 있게 된다. 사조위 구성 시 보다 면밀한 사고원인 규명과 재발방지대책 마련이 가능해진다. 남영우 국토부 건설정책국장은 “노후·취약 시설물에 대한 선제적 안전관리는 국민의 생명, 안전을 지키는 밑거름”이라며 “시설물 관리주체가 강화되는 시설물안전법령상 의무 이행에 만전을 기해달라”고 당부했다."
건정연 “내년 수도권 집값 2∼3% 상승 전망”,https://n.news.naver.com/mnews/article/029/0002995576,"서울 남산에서 바라본 아파트 밀집 지역. [연합뉴스 제공] 내년 수도권 집값이 올해보다 2∼3% 상승할 것이라는 전망이 나왔다. 고하희 대한건설정책연구원(건정연) 부연구위원은 25일 서울 동작구 전문건설회관에서 열린 내년 건설·주택 경기 전망 세미나에서 “수도권은 착공 감소, 프로젝트파이낸싱( PF ) 리스크, 3기 신도시 공사 지연 등 구조적 공급 부족이 이어지고 있다”며 “내년 수도권 집값은 올해보다 2~3% 오를 것”이라고 전망했다. 또 지방은 인구 감소와 수요 기반 약화로 1% 내외 하락이나 보합 흐름이 나타날 가능성이 크다고 내다봤다. 고 부연구위원은 올해 주택 시장은 전고점 회복 흐름 속에서 수도권과 지방 간 양극화가 더 심해졌다고 평가했다. 고 부연구위원은 “수도권은 매수 심리·거래·가격이 모두 회복됐지만, 지방은 미분양 누적과 수요 약세로 하락·정체가 이어졌다”고 말했다. 내년 전셋값은 수도권이 3%, 지방이 2% 상승할 것으로 예상됐다. 고 부연구위원은 “전세대출 규제와 기존 세입자의 계약 갱신 증가로 전세 매물이 줄어 공급이 제한되면서 가격 상승이 나타날 것”이라고 밝혔다. 주택 공급은 올해 대비 착공이 약 6% 늘고, 준공은 약 25% 줄어들 것으로 전망됐다. 고 부연구위원은 “2022~2023년 침체기에 급감한 착공 실적 여파로 2025년 이후 준공 물량은 감소하겠지만, 2023년 저점 이후 착공이 회복세로 전환되고 공사비 안정 등 공급 환경 개선으로 착공 증가 가능성도 있다”고 설명했다. 이날 세미나에선 내년 건설 시장에 긍정적 요인보다 부정적 변수가 더 크게 부각될 가능성이 제기됐다. 박선구 건정연 연구위원은 “금리 인하 기대, PF 불확실성 감소, 공사비 안정, 이익 지표 개선 등 우호적 신호가 나타나고 있다”면서도 “착공 감소 등 누적된 선행 지표 부진과 지역 건설 경기 양극화, 안전 규제 부담이 여전히 회복을 제약하고 있다”고 짚었다. 박 연구위원은 “올해 건설 투자는 약 9.0% 감소한 264조원 수준에 머무를 것으로 예상된다”며 “내년에는 약 2% 증가한 269조원으로 제한적 반등에 그칠 전망”이라고 분석했다."
"안전벨트 안 매면 중상 가능성 6배↑, 뒷좌석은 16배↑…“전 좌석 무조건 착용해야”",https://n.news.naver.com/mnews/article/025/0003485231,"[2025 오늘도 무사고③] 교통경찰관들과 택시 모범운전자들이 지난 5월 27일 서울 중구 서울역 택시 승강장에서 '뒷좌석 안전띠 착용 캠페인'을 벌이고 있다. 뉴스1 지난 3월 경기 광주시의 한 건설 공사장 부근에서 안전벨트를 착용하지 않은 레미콘 운전기사가 내리막길을 운행하다 건물 외벽을 들이받은 뒤 차량이 넘어지며 전신주와 다시 충돌했다. 이 사고로 운전기사는 목숨을 잃었다. 경찰청 관계자는 당시 사고와 관련해 “안전벨트를 매지 않은 경우, 저속으로 연석과 충돌하는 등 가벼운 접촉 사고가 일어나도 몸의 자세가 틀어져 순간적으로 운전 능력을 잃게 된다”며 “저 사고도 충돌 후 차량이 우측으로 넘어지며 2차 충격이 커졌다”고 설명했다. 25일 한국교통안전공단(이하 공단)에 따르면 가장 최근 통계인 2018년부터 2022년까지 5년 간 안전벨트 착용 여부별 교통사고 분석 결과, 안전벨트 착용 여부가 확인된 교통사고 사망자 2458명 중 안전벨트 미착용으로 발생한 사망자는 824명으로, 33.5%를 차지했다. 정근영 디자이너 교통사고 사망자 중 안전벨트 미착용 비율이 점차 줄고 있지만, 사망사고 발생 시 안전벨트 착용 여부를 명확히 확인하기 어려운 경우가 많아 안전벨트 미착용으로 인한 사망자는 더 많을 것이란 게 공단 측 설명이다. 또 고속도로에선 안전벨트 착용률이 높지만, 저속으로 주행하는 일반 도로에서는 안전벨트 착용률이 상대적으로 떨어지는 경우가 많다. 하지만 시속 60㎞ 이하 충돌에서도 안전벨트를 하지 않을 경우 충격이 훨씬 큰 것으로 나타났다. 공단이 안전벨트 효과 검증을 위해 성인 남성 인체모형으로 시속 56㎞로 정면충돌 실험을 한 결과, 안전벨트를 매지 않았을 때 머리·목·흉부 등 복합 중상을 입을 가능성이 80.3%에 달했다. 안전벨트를 정상적으로 착용했을 때, 가해질 수 있는 복합 중상 가능성이 12.5%인 것에 비해 약 6배 이상 높다. 경찰청이 시속 48㎞로 정면충돌 실험을 한 결과도 마찬가지다. 안전벨트를 하지 않으면 머리에 가해지는 충격이 착용 시보다 2.7배 커졌고, 뒷좌석의 경우 중상 가능성이 16배나 상승했다. 사망률은 최대 9배까지 높아졌다. 특히 한국은 뒷좌석 안전벨트 착용률이 57%(2024년)로 미국·유럽 등 선진국에 비해 크게 낮다. 지난 2022년 관련 조사에 따르면 독일·호주가 96%로 가장 높았고 영국(92%)·프랑스(90%)·미국(78%) 등도 뒷좌석 안전벨트 착용률이 50%를 훌쩍 넘었다. 정근영 디자이너 국내에선 2018년 도로교통법 개정으로 전 좌석 안전벨트 착용이 의무화됐다. 하지만 아직 뒷좌석 안전벨트 착용률은 저조하다. 공단이 지난해 일반도로에서 안전벨트 착용 준수율을 확인한 결과, 운전석(90.01%)과 조수석(87.80%)은 비교적 높았지만 뒷좌석은 56.59%로 낮았다. 이에 공단은 올해 범정부 교통안전 캠페인 ‘오늘도 무사고’를 진행하면서 ‘안전벨트 무조건 착용’을 캠페인 주요 안전수칙 중 하나로 정했다. 정용식 공단 이사장은 “전 좌석 안전벨트 착용이 의무화된 지 7년이 넘었지만 아직도 뒷좌석 안전띠 착용률이 낮다”며 “착용률 향상을 위해 다양한 실험·홍보 사업을 하고 있다”고 말했다. 공단의 상주교통안전체험교육센터 최창현 부교수는 안전벨트를 제대로 매는 법에 대해 조언했다. 안전벨트를 제대로 매지 않을 경우 더 큰 상해로 이어질 수 있다면서다. 최 부교수는 “하부 안전벨트를 배에 걸치는 경우가 많은데 골반 뼈에 위치하도록 해야 한다”며 “안전벨트가 복부에 위치할 경우 강한 충격 시 복부를 압박하게 돼 장기가 파열될 수 있다”고 말했다. 최 부교수는 “어린이의 경우 상부 안전벨트가 교통사고 발생 시 목을 조일 가능성도 있다”며 “영유아는 물론 초등학생도 성인 안전벨트가 아닌 주니어용 카시트 안전벨트를 착용하는 게 더 안전하다”고 덧붙였다. 한국교통안전공단·중앙일보 공동기획"
"[게시판] 부동산원, 2025년도 건물신축단가표 발간",https://n.news.naver.com/mnews/article/001/0015761692,"▲ 한국부동산원은 25일 최신 시장 정보를 반영해 개정한 '2025 년도 건물신축단가표'를 발간했다고 밝혔다. 단가표는 감정 평가, 금융 여신, 손해 사정, 감리비 산출 기준 등 다양한 분야에서 활용되는 가격 자료다. 발간서에는 건물신축표준단가 432종과 부대설비 보정 단가 49종이 수록됐다. 특히 이번 개정판은 미술관(철근콘크리트조) 2종의 표준단가를 신규 수록했으며, 부대설비인 주민운동시설(스크린골프장·스크린테니스·체력단련실)과 폐쇄회로( CC ) TV 설비 등 2종의 보정단가를 추가했다. (서울=연합뉴스) 2025년도 건물신축단가표 표지 [한국부동산원 제공]"
