title,link,content
기아 노조 5년 만에 파업하나…19일 쟁의행위 찬반 투표,https://n.news.naver.com/mnews/article/422/0000781926,"기아 양재동 사옥 [연합뉴스 제공] 기아 노조가 올해 임금 및 단체협상 교섭 결렬에 따라 오는 19일 쟁의행위(파업) 찬반 투표를 실시합니다. 오늘(16일) 노동계에 따르면 기아 노조는 지난 11일 사측과의 5차 임단협 교섭에서 최종 결렬을 선언했습니다. 이어 지난 12일 중앙노동위원회에 조정신청을 냈습니다. 오는 19일 찬반 투표에서 찬성 의견이 전체 조합원의 절반을 넘기고, 중앙노동위원회 조정이 최종 결렬될 경우 기아 노조는 합법적 파업권을 얻게 됩니다. 기아 노사는 2020년부터 지난해까지 4년 연속으로 무분규로 협상을 타결한 바 있습니다. 기아 노조는 ▲ 기본급 14만1천300원 인상 ▲ 성과급으로 지난해 영업이익의 30% 지급 ▲ 만 64세로 정년 연장 ▲ 주 4일제 도입 등을 요구하고 있습니다. 노조 관계자는 ""교섭 장기화에도 불구하고 사측은 미온적인 태도로만 일관하고 있다""며 ""시간 끌기로 구태적인 행태를 보인다면 노조가 결단할 것""이라고 말했습니다. 한편 현대자동차 노사는 지난 9일 성과금 450%+1,580만원, 주식 30주, 재래시장상품권 20만원 지급 등의 내용이 담긴 임단협 잠정합의안을 도출해 지난 15일 조합원 찬반투표를 열고 52.9%의 찬성으로 가결한 바 있습니다. #기아노조 #자동차 #임단협 연합뉴스 TV 기사문의 및 제보 : 카톡/라인 jebo 23"
"""K-로봇 경쟁력↑""…에이딘로보틱스, '제조 AX 얼라이언스' 참여",https://n.news.naver.com/mnews/article/008/0005251304,"[이 기사에 나온 스타트업에 대한 보다 다양한 기업정보는 유니콘팩토리 빅데이터 플랫폼 '데이터랩' 에서 볼 수 있습니다.] 제조 AX 얼라이언스 공동위원장인 김정관(앞줄 왼쪽 여섯번째부터) 산업통상자원부 장관과 최태원 대한상공회의소 회장이 10일 서울 중구 웨스틴조선 호텔에서 열린 '제조 AX 얼라이언스( M.AX 얼라이언스)' 출범식에서 참석자들과 기념촬영을 하고 있다. /사진=뉴시스 로봇용 센서 전문기업 에이딘로보틱스 가 민간과 정부가 함께 주도하는 제조업 분야 AX (인공지능 전환)을 위한 'M.AX 얼라이언스'에 공식 합류했다고 16일 밝혔다. 산업통상자원부 장관과 대한상공회의소(대한상의) 회장이 공동위원장을 맡은 M.AX 얼라이언스는 침체된 제조업을 AI 와 첨단 기술로 혁신하고 2030년까지 100조원 이상의 부가가치를 창출하기 위해 마련된 대규모 국가 전략 프로젝트다. SK, LG 전자, 현대차 등 국내 주요 대기업과 1000여개 기업과 연구기관, 대학이 참여한다. 구체적으로 △ AI 팩토리 △휴머노이드 △ AI 제조서비스 △ AI 유통·물류 △자율주행차 △자율운항선박 △ AI 가전 △ AI 방산 △ AI 바이오 △ AI 반도체 등 10대 분야로 나뉜다. 에이딘로보틱스는 산업통상자원부와 한국산업기술평가관리원이 주관하는 'K- 휴머노이드 연합'에도 참여하고 있다. 2030년까지 '휴머노이드 최강국 실현'을 목표로, 정부·학계·제조기업·부품기업·수요기업 등이 협력해 휴머노이드 산업 생태계를 조성하는 국가 주도 대형 프로젝트다. 에이딘로보틱스는 로보틱스 분야 전문가인 최혁렬 성균관대 기계공학과 교수와 함께 연구실의 이윤행 박사가 대표를 맡아 2019년 11월 설립한 연구실 창업기업이다. 1995년부터 축적한 필드 센싱( Field Sensing ) 기술을 기반으로 로봇 센서·부품들을 개발했다. 휴머노이드 로봇의 감각을 지원하는 손가락 끝, 손목, 발목 관절 등에 내장 가능한 로봇용 힘 토크 센서와 택타일(촉각) 센서 기술을 바탕으로, 휴머노이드의 정밀 제어와 인간 수준의 조작 성능 구현을 지원한다. 이윤행 에이딘로보틱스 대표는 ""민관이 함께 만드는 대규모 프로젝트에서 휴머노이드의 감각을 책임지는 센서 대표 기업으로 참여하게 됐다""며 ""로드맵에 부합하는 높은 신뢰도를 갖춘 센서를 공급하고 대한민국이 글로벌 휴머노이드 시장을 선도하는데 기여하겠다""고 했다. [머니투데이 스타트업 미디어 플랫폼 '유니콘팩토리' ]"
상생페이백 접수 첫날 79만명 신청…수도권서 44만명,https://n.news.naver.com/mnews/article/001/0015629831,"중기부, 30일까지 디지털 온누리상품권 충전 이벤트 상생페이백 접수 첫날 79만명 신청 [중소벤처기업부 제공. 재판매 및 DB 금지] (서울=연합뉴스) 강애란 기자 = 중소벤처기업부는 상생페이백 접수를 개시한 전날 약 79만명이 신청했다고 16일 밝혔다. 상생페이백은 만 19세 이상의 국민을 대상으로 이달부터 오는 11월까지 월별 카드 소비액이 지난해 월평균 카드 소비액보다 늘어났다면 증가한 금액의 20%까지 월 최대 10만원, 3개월간 30만원 한도에서 디지털 온누리상품권으로 환급해주는 사업이다. 5부제 접수 첫날인 전날 79만1천798명이 상생페이백 누리집(상생페이백 .kr )을 통해 신청했다. 지역별로는 수도권(서울·경기·인천)에서 44만명이 신청해 절반 이상을 차지했고, 수도권 외 지역에서는 부산 5만2천명, 경남 4만5천명 순으로 신청했다. 중기부는 전날 신청자를 기준으로 지원 대상자 여부와 지난해 월평균 카드 실적을 이틀 후인 17일 오전부터 알림톡으로 안내할 예정이다. 이달 1일부터 누적 카드 실적은 오는 18일 상생페이백 누리집 '페이백 및 소비복권 조회하기' 메뉴에서 확인할 수 있다. 상생페이백 사용처 중에서 하나로마트의 경우 기존에 유사 업종이 없는 면 지역 소재 점포만 해당했으나 읍·면 지역까지 넓혀 사용처가 780개로 늘었다. 또 지역 생산 농산물을 직접 소비자에게 판매하는 '로컬푸드직매장' 251곳도 사용처로 추가됐다. 중기부는 상생페이백 런칭 기념으로 오는 30일까지 디지털 온누리 앱에서 상품권을 누적 5만원 이상 충전하면 추첨을 통해 1만원의 상품권을 1만명에게 지급하는 이벤트도 한다. 이대건 중기부 소상공인정책관은 ""상생페이백을 모르고 신청하지 못한 국민이 없도록 지속해 홍보하고 사업 수행에 차질 없게 하겠다고 말했다. aeran @ yna.co.kr"
"놀유니버스 ""결제 정보 탈취 없다""",https://n.news.naver.com/mnews/article/648/0000039892,"PG 사서 '가맹점·승인금액' 내역만 전달받아 놀유니버스는 놀인터파크에서 발생한 무단 결제와 관련해 ""당사에서 결제 정보가 탈취될 수 없다""고 11일 밝혔다. 앞서 놀유니버스가 운영하는 여행 상품 판매 사이트 '놀인터파크'에서 수백만원 상당의 상품이 무단으로 결제됐다는 내용이 보도됐다. 인터넷 간편결제 서비스에 등록된 신용카드를 통해 무단 결제가 이뤄졌고 유사한 사례가 카드사에 접수됐다는 내용이다. 놀유니버스는 ""당사는 중개 플랫폼으로서 결제 승인 이후의 과정을 수행하며, 전자결제대행사( PG 사)의 결제 승인 결과만 전달받는다""며 "" PG 사를 통한 결제의 경우 당사는 결제 정보를 저장하지 않기 때문에 (놀유니버스에서) 결제 정보가 탈취될 수 없다""는 입장을 밝혔다. 전자결제대행사( PG 사)로부터 가맹점, 승인 금액 정보만 전달받고 있기에 주문번호, 승인번호, 결제일시, 구매상품명, 카드사, 카드번호 일부(앞자리 6~8자리), 할부 여부, 금액 정보 등의 결제 정보는 놀유니버스가 가지고 있지 않다는 내용이다. 또한 결제 정보 유출 경로나 범죄 행위 자체를 직접 확인할 권한이 없다고 덧붙였다. 다만 직접적인 피해 사례가 발생한 만큼 고객 불편을 최소화하기 위해 최선을 다해 협조하겠다고 밝혔다. 놀유니버스는 ""고객 신고와 사법당국 협조를 통해 부정 결제로 인한 불편 최소화에 적극적으로 대응하고 있으며 보안 정책을 강화할 것""이라고 전했다."
"대전시, 국내 첫 재창업 거점 ‘재도전·혁신캠퍼스’ 개소",https://n.news.naver.com/mnews/article/421/0008489872,"이장우 대전시장이 ‘재도전·혁신캠퍼스’ 개소식에서 포즈를 취하고 있다.(대전시 제공. 재판매 및 DB 금지)/뉴스1 (대전=뉴스1) 김기태 기자 = 대전시가 국내 최초로 조성한 재창업 전용공간 ‘재도전·혁신캠퍼스’가 16일 문을 열고 본격적인 운영에 들어갔다. 이날 열린 개소식에는 이장우 시장을 비롯해 조원휘 시의장, 창업지원 유관기관 관계자, 재창업 성공 창업가 등 50여 명이 참석했다. 참석자들은 현판 제막과 전시 공간 투어를 통해 재창업 지원 정책의 필요성에 공감하고 향후 발전 방향을 공유했다. 캠퍼스는 2020년 중소벤처기업부로부터 국비를 교부받아 총사업비 60억 원(국비 40억 원, 시비 20억 원)을 투입해 대전스타트업파크 본부 2층(연면적 1187㎡)에 마련됐다. 대전창조경제혁신센터가 위탁 운영을 맡아 재창업 기업 발굴·육성, 상담·교육, 네트워킹 등 종합적인 지원을 펼치게 된다. 캠퍼스 내 전시 공간은 △국내외 350건의 실패·성공사례 △실패제품 39종 △관련 동영상 74편으로 구성돼 있으며, 대전 내 재창업 성공기업 기획전시도 운영된다. 또 재창업 기업을 위한 다목적실, 1인 테이블형 연구석 17석, 상담부스, 영상제작실 등도 마련돼 기업의 성장과 홍보를 밀착 지원한다. 향후에는 △재창업 성공·실패 사례 전시 및 데이터베이스 구축 △재창업 교육·컨설팅 △시장 전환 지원을 통한 폐업 방지 △사업화 자금 지원 △선후배 창업자 네트워킹 등이 운영될 예정이다. 시는 재창업 지원을 위한 전용 거점을 확보, 지역 내 창업 생태계 선순환 체계 구축에 속도를 낼 전망이다. 이장우 시장은 “재창업 지원은 실패 경험을 자산으로 전환해 성장 동력으로 확장하는 중요한 과정”이라며 “정부의 재도전 활성화 정책 기조에 맞춰 지역 재창업 생태계를 활성화하고 사회 안전망을 강화하는 데 최선을 다하겠다”고 말했다."
"위시빌더, ‘ESG 친환경 대전’서 차세대 수처리 혁신기술 공개",https://n.news.naver.com/mnews/article/011/0004533795,"환경부 주최 국내 최초 ESG 친환경 산업 전문 박람회 물·플라스틱·탄소 문제 동시 해결하는 솔루션 제시 [서울경제] 소셜벤처 위시빌더는 이달 24일부터 26일까지 코엑스에서 열리는 ‘2025 대한민국 ESG 친환경대전’에 참가해 융복합 수처리제 ‘퓨어위시( PURE WISH )’와 수처리시스템 ‘위시웰( WISH WELL )’을 중심으로 물·플라스틱·탄소문제를 동시에 해결하는 혁신 기술을 선보인다고 16일 밝혔다. 대한민국 ESG 친환경대전은 환경부가 주최하는 국내 최초 ESG 친환경 산업 전문 박람회로, 다양한 기업과 기관, 지자체 등이 ESG 와 친환경 기술을 공유하고 협력하는 국내 대표 행사이. 위시빌더가 박람회에서 선보일 퓨어위시( PURE WISH )는 4g 한 포로 오염수 20L를 즉시 식수로 바꿀 수 있는 융복합수처리제로, 휴대성과 경제성을 갖춰 재난재해 현장, 난민 캠프, 상수도 인프라가 부족한 지역 등에서 효과적으로 활용할 수 있다. 특히 플라스틱 생수병 사용을 대체해 탄소 배출을 줄이는 친환경 솔루션으로 주목받고 있으며, 깨끗한 물 공급과 사회적 책임을 동시에 실현하는 완벽한 ESG 모델로 자리매김 하고 있다는 평가다. 위시웰은 퓨어위와 결합된 수처리시스템으로 1시간에 1톤의 오염수를 정수할 수 있다. 빗물저장탱크 등 지역에 이미 존재하는 자원을 재활용할 수 있도록 설계되어, 마을이나 학교 등에 설치해 빠르고 지속가능한 방식으로 깨끗한 물을 공급할 수 있다. 위시빌더는 기술 뿐만 아니라 사회적 가치 측면에서도 ESG 를 실천하고 있다. ‘퓨어위시’는 아해하제사회적협동조합과 협력해 장애인표준사업장 ‘아해하제파트너스X위시빌더’에서 생산되며, 이를 통해 중증발달장애인의 고용안정과 사회 참여 기회를 확대하고 있다. 김효진 위시빌더 대표는 “퓨어위시는 단순한 친환경 기술을 넘어, 깨끗한 물을 통한 인간의 기본권 보장을 목표로 하고 있다”며 “이번 2025 대한민국 ESG 친환경대전 참가를 통해 다양한 기업과 함께 친환경과 사회적 가치를 결합한 ESG 실천기회 확장을 기대한다”고 말했다."
"속도의 자유와 지속가능성을 입는다, VLCT 사이클링 웨어",https://n.news.naver.com/mnews/article/009/0005559469,"서원대학교 스포츠사회적기업전담센터는 국민체육진흥공단이 주관하는 스포츠분야 사회적기업 유망 창업자들을 집중 육성하는 사업을 운영하며 국내 1호 운영기관으로 2000년부터 6년 연속 사업을 수행하고 있다. 미래 유니콘을 꿈꾸는 보육기업 대표를 만나본다. [2025서원대학교 스포츠사회적기업 보육기업 인터뷰 ㉓] 초경량 90g 사이클링 져지, VLCT 가 선보인 혁신 방수·경량·지속가능성까지… 신개념 사이클링 아우터, 계절별·라이더 레벨별 제품 세분화 VLCT 제품이미지 Q. 어떤 사업을 하는 기업인가? VLCT STUDIOS 는 ‘속도 ’, ‘빠름’이라는 의미의 라틴어 ‘ Velocitas’ 의 줄임말로 브랜드 네임을 정했다. 그에 따라 속도의 자유와 도시의 에너지를 품고 달리는 사이클링 브랜드이다. 서울이라는 거대한 메트로폴리스를 무대 삼아, 라이더들이 일상과경쟁의 경계를 넘어 자유롭게 속도를 즐기고, 더 건강한 환경을 만들어갈 수 있도록 돕는다. 브랜드의 미션을 담은 VLCT 의 슬로건은 ‘ RIDE IN A GOOD PLACE’ 이다. Q. 주력 사업 아이템 또는 서비스는 무엇인가? VLCT 는 사이클리스트들의 트레이닝과 레이스를 위한 최적화된 의류와 용품을 소비자들에게 공급하고 있다. 25년에 선보인 사이클링 져지 컬렉션은 초경량(90g)제품으로 파워 손실을 최소화하는 에어로 핏을 적용하여 속도가 빠른 중상급 라이더에게 적합한 라인이다. 또한 가을에 선보일 자켓과 질레 컬렉션은 방수 기능을갖추고 있으며 초경량, 고탄성 소재를 사용하여 기존의 방수 자켓과 경량 바람막이의 장점을 모두 지닌 신개념의 아우터이다. 또한 VLCT 는 속도에 대한 열정과 함께 지구를 향한 책임을 동시에 품고 있다. 석유화학 원료의 섬유 사용을 줄이고 재생 섬유를 적극 활용하며, 져지 한 벌 제작 시평균 1.76~3.24 kg 의 CO 2 배출을 감축한다. 모든 져지 원단은 BLUESIGN 과 OEKO-TEX 인증을 받았으며, 소재 선택부터 제작, 그리고 제품의 마지막 순간까지 지속가능성을 핵심 가치로 삼고 있다. (사진제공: VLCT ) Q. 투자 유치 현황과 향후 사업 확장 및 신사업 계획 등에 대한 기업의 계획은? VLCT 는 보다 견고하고 강력한 브랜드 이미지 구축을 지속하기 위하여 외부 투자는 현재 고려하고 있지 않다. 우선 고객들이 브랜드가 추구하는 이미지와 기능을 경험하여 VLCT 에 대해 느끼고 관계를 맺을 기회를 만들기 위한 마케팅 활동에 주력할 계획이다. VLCT Studios 는 2025년 9월 ‘ VLCT Green MIles’ 를 런칭한다. VLCT Green Miles 는 소비자가 1 Km 라이딩마다 100 원의 포인트를 적립하여 브랜드 제품 구매시 사용할 수 있는 마일리지 시스템이다. 글로벌 라이딩 앱 ‘ STRAVA’ 와의 협업을 통하여 소비자들은 회원가입과 클릭 한 번으로 자신의 라이딩 마일리지를 포인트로 전환할 수 있다. 이 프로그램은 자전거를 즐기고, 이동 수단으로서 적극적 활용을 하는 소비자들에게 할인 혜택을 제공함으로써, 탄소 배출 저감을 통해 라이딩 환경을 지키고자 하는 브랜드 미션의 실천이다. 2025년 500 명의 회원 가입 및 참여를 목표로 하고, 회원들의 라이딩 활동에 의하여 CO 2 300톤의 배출을 줄일 수 있을 것으로 기대하고 있다. 적극적인 참여 유도를 위하여 온·오프라인에서 지속적인 이벤트와 캠페인을 진행할 예정이다. Q. 서원대학교 스포츠사회적기업전담센터의 보육을 통해서 사업 운영에 어떤 도움을 받았는가? 다양한 교육, 멘토링 등 시스템을 통하여 사회적 기업으로서 갖춰야 할 전문적인지식 및 경험을 취득하였다. 또한 창업 초기에 필요한 다양한 회계, 투자, 인사, 관리 등 분야의 보육 프로그램이 안정적인 기업 시작에 도움이 되었다. Q. 향후 사업계획이 있다면? 서울을 문화적 배경으로 하는 사이클 브랜드인 만큼, K CULTURE 를 동경하는 중국을 비롯한 아시아 사이클 리스트들을 대상으로 1차 확장을 추진할 계획이다. 따라서 상품 라인업의 다양화, 디지털 퍼포먼스 마케팅의 고도화 등의 과제를 추진할 예정이며, AI 를 활용한 커뮤니케이션 툴의 개발도 함께 진행할 예정이다."
"""시몬스 테라스로 토껴볼까""…제3회 이천청년축제 개막",https://n.news.naver.com/mnews/article/003/0013485795,"오는 20일 오전 11시부터 오후 7시까지 진행 [서울=뉴시스] 제3회 이천청년축제. (사진=시몬스 제공) 2025.09.16. photo @ newsis.com *재판매 및 DB 금지 [서울=뉴시스]강은정 기자 = 시몬스는 경기 이천시 시몬스 테라스에서 '제3회 이천청년축제'가 열린다고 16일 밝혔다. 이천청년축제는 매년 9월 셋째 주 토요일 청년의 날을 기념해 이천시가 주최하는 행사다. 올해는 '비상(飛上) 우리만의 놀이터로 토끼자'를 주제로 오는 20일 오전 11시부터 오후 7시까지 진행된다. 지역 청년 소상공인이 참여하는 셀러존부터 푸드존, 포토존 등 다양한 프로그램이 준비됐다. 이종경 이천청년축제기획단장은 ""이번 축제가 지역 상생과 문화를 아우르는 복합문화공간인 시몬스 테라스에서 열려 더욱 뜻깊다""며 ""청년들이 직접 기획하고 참여한 만큼 새로운 도전의 에너지와 자신감을 키워 더 높이 도약하는 계기가 될 것""이라고 말했다."
중기부 “상생페이백 접수 첫날 79만 명 신청”,https://n.news.naver.com/mnews/article/011/0004533789,"지역별로는 수도권에서 44만 명 신청 디지털 온누리상품권 지급 이벤트도 [서울경제] 중소벤처기업부는 16일 상생페이백 접수 첫날인 15일에 약 79만 명이 신청했다고 밝혔다. 상생페이백은 만 19세 이상의 국민을 대상으로 지난해 월 평균 카드소비액보다 이번 달부터 11월까지 월별 카드소비액이 늘어난 경우, 증가한 금액의 20%까지 월 최대 10만 원(3개월 30만 원 한도)을 전통시장 및 상점가 등에서 사용할 수 있는 디지털 온누리상품권으로 환급해 주는 소상공인 지원 사업이다. 5부제 접수 첫날인 15일 79만1798명이 상생페이백 누리집을 통해 신청했다. 지역별로는 수도권(서울·경기·인천)에서 44만명(55.5%)이, 수도권 외 지역에서는 부산(5만2000명), 경남(4만5000명) 순으로 신청을 많이 했다. 15일 페이백 신청자 기준으로 지원대상자 여부와 지난해 월평균 카드실적을 이틀 후인 17일 오전부터 알림톡으로 안내할 예정이다. 올해 9월 1일부터 누적 카드실적은 18일부터 상생페이백 누리집 ‘페이백 및 소비복권 조회하기’ 메뉴에서 확인(확인일 기준, 2일전까지의 실적)할 수 있다. 한편, 디지털 취약계층을 위한 페이백 신청안내처가 국민·우리·농협은행 및 농축협 외 신한은행(650곳 영업점)이 추가 참여함에 따라 안내 영업점이 8100여곳으로 늘어 접근성이 높아졌다. 상생페이백 소비액 인정 사용처도 확대했다. 종전에는 하나로마트 중 마트·슈퍼·편의점 등 유사 업종이 없는 ‘면’ 지역 소재 내 123곳만이 포함됐다. 하지만 지난달 21일 민생회복 소비쿠폰 사용 편의성 제고방안이 시행되면서 상생페이백도 이에 맞춰 유사업종이 부족한 읍·면단위 657곳까지 늘려 총 780개로 사용처를 확대했다. 또 지역 생산 농산물을 직접 소비자에게 판매하는 ‘로컬푸드직매장’ 251곳도 새롭게 인정 사용처에 추가했다. 여기에 상생페이백 론칭 기념으로 이달 30일까지 디지털 온누리 앱에서 상품권을 누적 5만 원 이상 충전하면 추첨을 통해 1만 원의 상품권을 총 1만 명에게 지급하는 이벤트를 진행한다. 이대건 중기부 소상공인정책관은 “상생페이백을 몰라 신청하지 못한 국민이 없도록 지속적으로 홍보하고 사업 수행에 차질없도록 하겠다”고 말했다."
호세 무뇨스 현대차 대표 “韓 전문성은 귀중한 자산…美사업장과 한국 간 협력 필수”,https://n.news.naver.com/mnews/article/021/0002736961,"최금 임직원 메일 통해 美 조지아 주 합작 배터리 공장 단속 사태 입장 전해 “미국 제조업에 대한 확고한 의지 변함없어” 협력업체 근로자 및 가족들 향해 “깊은 위로” 호세 무뇨스 현대자동차 대표(사장). 현대차 제공 호세 무뇨스 현대자동차 대표(사장)가 최근 미국 이민·세관당국의 조지아 주 현대차· LG 에너지솔루션 합작 배터리 공장 근로자에 대한 대규모 단속 사태와 관련, “미국을 포함한 해외 사업장과 한국 간의 협력은 글로벌 성공을 위해 필수적”이라고 말했다. 16일 업계에 따르면, 무뇨스 대표는 최근 임직원들에게 보낸 메일에서 “한국의 전문성, 혁신, 기술력과 노하우는 전 세계 현대자동차 운영에 있어 귀중한 자산”이라며 이같이 밝혔다. 현대차가 이번에 단속된 공장 외에도 미국 현지 투자, 생산시설 확대 등을 진행하고 있는 상황에서 한국의 한국의 숙련된 기술 인력 파견이 불가피한 점을 강조한 것으로 해석된다. 무뇨스 대표는 지난 11일(현지시간) 미국 현지 인터뷰에서도 “공장 건설 단계에는 전문 인력이 필요하다. 미국에서는 구할 수 없는 기술과 장비가 많다”고 지적한 바 있다. 무뇨스 사장은 “현대차는 15년 넘게 조지아 주에서 사업을 해왔고 미국 제조업에 대한 확고한 의지는 변함없다”며 “본 사안을 매우 엄중하게 여기고 있으며 관련 모든 부서가 여러분이 언제 어디서나 안전하게 근무하실 수 있도록 총력을 다하고 있다”고 말했다. 그는 구금됐다 풀려나 귀국한 협력업체 근로자와 가족들을 향해선 “깊은 위로의 마음을 전한다. 안전하게 한국으로 복귀할 수 있어 매우 다행이고, 다시 평안한 일상으로 돌아가시기를 바란다”고 전했다."
