title,link,content
"[게시판] 우리금융, 강릉에 생수 20만병 기부",https://n.news.naver.com/mnews/article/001/0015600599,"▲ 우리금융그룹은 극심한 가뭄을 겪는 강릉시에 2ℓ 생수 20만병을 긴급 지원했다고 2일 밝혔다. 대한적십자사를 통해 강릉시청에 전달된 생수는 생활용수 등으로 지역 취약계층에 우선 공급된다. 임종룡 우리금융 회장은 ""강릉 지역 주민 생활의 어려움이 가중되고 있어 일상생활 지원을 위해 생수를 기부했다""며, ""사회적 책임을 다하기 위한 노력을 아끼지 않을 것""이라고 말했다. (서울=연합뉴스)"
[뉴스줌인]바람 잘 날 없는 롯데카드…재매각도 사실상 무산 '위기',https://n.news.naver.com/mnews/article/030/0003346283,"롯데카드에서 발생한 이번 해킹 사태로 인해 최대주주인 사모펀드( PEF ) MBK 파트너스의 지분 매각도 사실상 무산될 가능성이 커지고 있다. 홈플러스 사태로 인해 연체율이 급등하며 건전성에 우려가 불거지는 상황에서 예상치 못한 후속 보안 조치 비용까지 추가로 발생한 영향이다. 2일 관련업계에 따르면 올해 상반기 롯데카드의 연체율은 2.32%로 직전 분기 1.94% 대비 0.36%포인트(P) 증가했다. 2분기 다른 전업 카드사 7곳의 연체율이 일제히 감소한 가운데 롯데카드만 연체율이 치솟았다. 고정이하 채권 비율도 2.37%로 전년 동기 대비 1.01%P 늘었다. 전업 카드사 가운데 유일하게 2%대의 부실채권 비율을 기록 중이다. 업계 안팎에서는 최근 이어지는 롯데카드의 건전성 악화가 매각을 위한 수익성 개선 작업에 집중하면서 불거진 결과로 해석하는 분위기다. 실제 롯데카드의 2분기 당기순이익은 대손충당금 적립으로 지난해 같은 기간 대비 줄었지만, 영업수익은 9.7%가 증가했다. 상반기 말 기준 회원수도 967만명으로 6개월전 대비 10만명이 늘었다. 이번에 발생한 해킹 사고는 그간 수익성 확보에 매진하던 롯데카드 기업 가치에 직접적인 타격을 줄 가능성이 크다. 기업 평판 훼손은 물론 향후 추가로 발생할 수 있는 피해에 대한 각종 법적·재정적인 리스크가 남아있기 때문이다. 추가 보안 조치도 숙제다. 웹셸 공격으로 인한 제 2의 피해 가능성을 배제할 수 없어서다. 실제 SK 텔레콤은 최근 대규모 해킹 사고 이후 5년간 7000억원을 보안에 투자하겠다고 발표한 바 있다. 롯데카드 역시 추가적인 보안 체계 구축을 위한 신규 투자 수요가 발생할 가능성이 크다. 문제는 대주주인 MBK 파트너스가 롯데카드 신뢰 회복을 위한 적극적인 조치에 나설 만한 상황이 아니라는 점이다. 단기 수익을 추구하는 사모펀드의 특성은 물론이고, 당장 홈플러스 등 여타 투자 자산에 대한 회수도 쉽사리 진척이 되지 않고 있어서다. 주요 신용평가사들 역시 롯데카드에 대해서는 신용 평가 과정에서 유사시 계열사 지원 가능성을 전혀 반영하지 않고 있다. 보안 업계 관계자는 “2017년에 확인된 취약점에 노출됐다는 사실만으로도 매각을 서두르고 있는 사모펀드 입장에서 보안 거버넌스에 대한 관심을 전혀 기울이지 않았다는 걸 짐작할 수 있다”면서 “결국 대주주의 재무적 어려움이 금융 보안에도 악영향을 준 셈”이라고 판단했다. 금감원 조사 결과에 따라 징벌적 과징금 및 손해배상 소송 등 추가적인 비용이 발생할 가능성도 크다. 특히 최종적으로 개인정보까지 유출됐을 경우 예상되는 피해액도 상당하다. 롯데카드의 건전성에도 직격탄이 될 수 있다."
"우리금융, 가뭄 피해 강릉 지역주민에 2ℓ 생수 20만병 기부",https://n.news.naver.com/mnews/article/016/0002522975,사회복지공동모금회 통해 지원 ‘생활용수난’ 취약계층 우선 공급 우리금융그룹 전경 [우리금융 제공] [헤럴드경제=김은희 기자] 우리금융그룹은 극심한 가뭄으로 생활에 큰 불편을 겪고 있는 강릉시에 2ℓ 생수 20만병을 긴급 지원했다고 2일 밝혔다. 생수는 대한적십자사를 통해 강릉시청에 전달된다. 긴급 생활용수 등 다양한 용도로 지역 취약계층에 우선적으로 공급할 계획이다. 우리금융은 그간 국내 재난·재해가 발생할 때마다 선제적으로 구호 활동에 나서 기업의 사회적 책임을 실천해 왔다. 현재 강릉시 가뭄 피해 상황을 지속적으로 모니터링하고 있다. 필요시 추가적인 지원에 나설 예정이다. 임종룡 우리금융 회장은 “오봉저수지 저수율이 15% 이하로 떨어지는 등 강릉시 지역주민 생활의 어려움이 가중되고 있어 일상생활 지원을 위해 생수를 긴급하게 기부했다”며 “사회적 책임을 다하기 위해 노력을 아끼지 않겠다”고 전했다.
미 금리 인하 전망에 금·은값 최고,https://n.news.naver.com/mnews/article/421/0008461649,(서울=뉴스1) 구윤성 기자 = 금과 은 가격이 급등세를 보이는 2일 서울 종로구 한국금거래소에서 관계자가 골드바를 내보이고 있다. 1일(현지시간) 런던 거래에서 금 선물 가격은 온스당 3475달러로 거래되며 4월 기록한 최고가 3454달러를 넘어섰다. 현물 시장에서 금은 온스당 3489달러까지 상승해 사상 최고치에 단 11달러 차이로 접근했다. 은 가격은 2.6% 상승해 온스당 40.76달러를 기록해 2011년 이후 처음으로 40달러를 돌파했다. 금값 상승은 미국 달러화 약세와 연방준비제도( Fed )의 금리 인하 가능성이 맞물리면서 나타난 것으로 분석된다. 2025.9.2/뉴스1
흥국화재·제이피워런티 맞손…중고차 보증 1개월→1년으로 확대,https://n.news.naver.com/mnews/article/008/0005244457,"사진 왼쪽부터 박한용 제이피워런티 대표, 김미연 홍보담당 이사, 허정민 흥국화재 법인사업본부 전무/사진제공=흥국화재 흥국화재가 자동차 전문보증업체 제이피워런티와 함께 중고차 연장보증서비스 '점프 워런티( Jump Warranty )'를 본격 확대한다고 2일 밝혔다. 한국자동차진단보증협회 성능점검을 거친 중고차는 의무보험 가입을 통해 1개월간만 보장받을 수 있다. 하지만 새롭게 제공되는 '점프 워런티 연장보증서비스'는 최대 1년 또는 주행거리 2만 km 까지 엔진·미션 등 주요 부품 결함을 보장한다. 국토교통부에 따르면 국내 중고차 거래량은 연간 약 400만 대로 신차 판매량을 웃돈다. 그러나 성능·상태 불일치, 사고·침수 이력 미고지, 보증 부재 등으로 인한 소비자 피해 상담은 매년 1만 건 이상 접수된다. 흥국화재 관계자는 ""중고차 성능 점검과 보증 확대는 소비자 권익 보호와 건전한 유통문화 정착에 중요한 역할을 한다""며 ""차별화된 보험서비스를 통해 신뢰받는 중고차 시장 형성에 힘쓰겠다""고 말했다. 제이피워런티도 ""연장보증서비스는 소비자 불안 해소와 업계 경쟁력 강화에 기여할 것""이라고 밝혔다. 한편 전문가들은 중고차 거래 시 성능·상태 점검기록부 확인, 보증 범위·기간 검토, 사고·침수 이력 확인 등을 반드시 챙길 것을 조언했다."
"DB손해보험, TV광고 '우리는 약속한 사이' 론칭",https://n.news.naver.com/mnews/article/014/0005400364,"[파이낸셜뉴스] DB 손해보험은 TV 광고 '우리는 약속한 사이'를 론칭했다고 2일 밝혔다. 이번 캠페인은 '약속한 사이'라는 고객과의 관계를 기반으로 일상 속에서 고객의 안전·건강·사랑을 지켜주는 DB 손보만의 브랜드 가치를 담고 있다. 이번 TV 광고는 DB 손보 주력상품을 노출해 고객과 함께 일상 속 약속을 지켜가고자 하는 메시지를 전한다. 운전자와 동승자의 안전을 지켜주는 '참좋은 운전자보험 ', 반려견의 건강을 책임지는 '펫블리 반려견보험 ', 가족의 건강을 지켜주는 '나에게 맞춘 간편건강보험' 등 안전과 건강을 지키기 위한 순간을 포착했다. 새롭게 공개된 TV 광고에는 8년째 DB 손보의 모델로 활약 중인 배우 임윤아가 전면에 나선다. 이번 캠페인은 TV 광고 외에도 DB 손보의 브랜드 가치가 담긴 매니페스토 디지털 영상도 공개할 예정이다. DB 손보는 신규 광고와 유튜브, 인스타그램 등 SNS 채널에서도 고객 참여형 온라인 이벤트를 진행할 계획이다. # DB 손해보험 #임윤아"
‘960만 고객’ 롯데카드 해킹 사고…“정보 유출 확인 중”,https://n.news.naver.com/mnews/article/243/0000084059,"롯데카드. [사진 연합뉴스] [이코노미스트 송현주 기자] 960만여명의 고객을 보유한 롯데카드가 지난달 26일 외부 해킹 공격을 받은 것으로 나타났다. 고객정보 유출이 확인되진 않았지만 외부 공격자가 온라인 결제 서버에 접근한 흔적이 남아 정밀 조사를 진행 중이다. 2일 금융권에 따르면 롯데카드는 지난달 26일 서버 점검 중 특정 서버에서 악성코드 감염 사실을 확인하고, 전체 서버를 대상으로 정밀 조사를 실시했다. 이 과정에서 3개 서버에서 2종의 악성코드와 5종의 웹 셸( web shell )이 발견돼 즉시 삭제 조치를 했다. 이어 같은 달 31일 낮 12시께 온라인 결제 서버에서 외부 공격자가 자료 유출을 시도한 흔적이 발견됐다. 유출된 데이터 규모는 약 1.7기가바이트( GB ) 정도로 파악됐다. 롯데카드 고객 수는 올해 상반기 기준 967만명, 시장점유율은 신용판매 기준 10.1%다. 내부조사 중인 롯데카드 측은 현재까지 고객 정보 등 개인정보 유출 여부는 아직 확인되지 않았으며, 금융당국과 조사를 이어나갈 예정이라고 밝혔다. 롯데카드측은 “추가적인 침해나 정보유출 가능성에 대해서는 계속해서 조사를 이어가고 있다”고 말했다. 금융당국도 사실관계 확인에 착수했다. 금융감독원 관계자는 “롯데카드로부터 관련 보고를 받은 상태”라며 “자세한 상황은 현재 확인 중”이라고 설명했다."
"롯데카드, 해킹 사고 17일간 몰랐다… “카드 정보 등 온라인 결제내역 유출 의심”",https://n.news.naver.com/mnews/article/366/0001104789,"“사고 최초 발생 8월 14일, 파일 외부 반출 2회” 롯데카드 사옥/롯데카드 제공 롯데카드가 해킹 사고를 당하고도 17일 동안 이를 파악하지 못한 것으로 나타났다. 2일 금융감독원이 국회 정무위원회 소속 강민국 의원실에 보고한 자료에 따르면 롯데카드에 최초 해킹 사고가 발생한 시점은 지난달 14일 오후 7시 21분쯤이다. 14일일에 이어 15일에도 온라인 결제 서버 해킹이 이뤄졌는데, 실제 내부 파일이 외부로 반출된 것은 2회로 파악됐다. 해커는 지난달 16일에도 해킹 시도를 했으나, 파일 반출에는 실패했다. 그러나 롯데카드가 해킹 사고를 인지한 시점은 지난달 31일 정오쯤이다. 사고 발생 후 보름이 지나서야 이러한 상황을 인지하게 된 셈이다. 롯데카드에 따르면 유출된 데이터 규모는 약 1.7기가바이트( GB ) 정도로 파악됐다. 금감원은 “반출 실패한 파일을 토대로 추정할 때 카드 정보 등 온라인 결제 요청 내역이 포함된 것으로 보인다”고 보고했다. 고객 정보 유출 가능성이 있다는 뜻으로 해석된다. 롯데카드는 금감원에 “백신 추가 설치, 악성코드 진단 조치 이외에 정보 유출 가능 고객을 확인해 카드 비밀번호 변경 등을 안내하겠다”고 보고했다. 강민국 의원은 “올해 6월까지만 해킹 사고 4건에 유출된 정보가 3142건이나 된다. 개인정보 유출은 한번 터지면 2차, 3차 범죄로까지 이어지는 대형 금융 사고”라며 “해킹 사고에 금융당국의 제재 강화 방안 마련이 시급하다”고 했다."
"""쳐다보니 1초만에 결제 끝…페이스페이, 100만개 가맹점 확대""",https://n.news.naver.com/mnews/article/003/0013456269,"토스, 얼굴인식 간편결제 '페이스페이' 간담회 [서울=뉴시스] 2일 서울시 강남구 에스제이쿤스트할레에서 열린 토스 페이스페이 기자간담회 체험존에 있는 토스프론트 단말기에서 페이스페이 서비스를 이용해보고 있다. (사진=권안나 기자) 2025.09.02. photo @ newsis.com *재판매 및 DB 금지 [서울=뉴시스]권안나 기자 = ""페이스페이를 사용해 본 많은 이들이 '결제라는 행위가 사라졌다'고 합니다. 커피를 들고 있든, 장바구니를 들고 있든 단말기를 바라보는 순간 결제가 끝납니다. 한번 써본 분들은 편리함을 깨닫고 습관처럼 사용하기 시작했다는 얘기를 했습니다.""(오규인 토스 부사장) 토스가 얼굴만 있으면 1초만에 결제가 끝나는 얼굴인식 간편결제 시장을 본격적으로 연다. 지난 3월 시범 운영을 시작한 '페이스페이'를 전국 단위로 영역을 넓히고, 내년까지 100만개 가맹점으로 보급을 확대한다는 계획이다. 2일 서울시 강남구 에스제이쿤스트할레에서 열린 토스 페이스페이 기자간담회 체험존에 있는 토스프론트 단말기에서 원하는 음료와 결제방식(페이스페이)을 택하니, 얼굴 인식을 위한 카메라가 켜지고 1초만에 결제가 이뤄졌다. 토스는 시범 운영 기간 단말기 위치와 각도, 사용자의 키, 매장의 조명 등 다양한 환경에 상관없이 사용할 수 있도록 제품을 재설계하고 얼굴 인식률을 개선해왔다. 이를 통해 빠르게 매끄럽게 결제가 이뤄질 수 있는 환경을 구현한 것이다. 페이스페이 결제에는 딥러닝 등 인공지능( AI ) 기술도 활용됐다. 사용자 얼굴 데이터를 식별하고 경험이 쌓일수록 기술이 발전하는 형태로 구성했다. 페이스페이 개발을 이끄는 토스 최준호 TPO 는 ""사람이 인식하는 것과 유사한 수준이라고 보면된다""며 ""주변 지인들이 봐도 크게 변하지 않을 정도로 성형을 했다면 사용할 수 있고, 지인들도 놀랄 정도로 성형을 한다면 재등록해야 편안하게 사용할 수 있다""고 설명했다. 토스는 최근 모바일 신분증 민간 사업자로 선정된 점을 활용해, 모바일 신분증 발급 시 인증한 얼굴 정보와 페이스페이 등록 정보를 결합해 사용할 수 있는 서비스도 개발한다는 계획이다. 영화관이나 숙박업소 등에서 성인 인증과 결제를 동시에 처리할 수 있게 되는 것이다. 콘서트장과 스포츠 경기장 등에서도 예약자의 얼굴을 확인하는 티켓으로 즉시 입장이 가능해진다. 최 TPO 는 ""결제와 신분증 인증이 필요한 오프라인 경험에서 한번의 얼굴 인식으로 모든 과정을 끝낼 수 있다""며 ""토스가 온라인에서 만든 혁신을 오프라인으로 확장하는 것""이라고 말했다. 토스는 올해 말까지 전국 30만개 매장, 2026년까지 100만개 매장으로 페이스페이를 확대해 생활에서 밀접하게 얼굴인식 결제를 만날 수 있도록 한다는 계획이다. 편의점·카페·외식·영화관·패션·뷰티·가전 매장까지 전방위적인 브랜드와의 협업도 예고했다. 우선적으로 시범 운영을 함께한 GS 25, CU, 세븐일레븐에 이어 이마트24까지 4대 편의점으로 협업을 확대한다. LG 베스트샵·롯데시네마·이니스프리·탑텐·두끼·소노·교촌 등 대형 프랜차이즈를 중심으로 보급한다. 향후 소상공인을 염두에 둔 중장기 지원 정책도 마련한다. 가맹점의 니즈를 반영해 단말기도 다양한 형태로 내놨다. 이날 행사에서 새롭게 공개된 단말기 '토스 프론트뷰'는 사용하던 결제 단말기 교체없이 페이스페이를 사용할 수 있도록 지원하는 제품이다. '토스 프론트캠' 역시 기존의 키오스크 상단에 부착해 페이스페이를 활용할 수 있다. '토스프론트' 제품도 페이스페이를 활용할 수 있도록 업데이트할 수 있다. 토스는 개방형 플랫폼인 '앱인토스'를 통해 결제 경험을 한 단계 더 확장한다. 앱인토스는 토스 앱 안에서 온라인 매장을 구현할 수 있도록 지원하는 프로그램이다. 사용자는 앱인토스에서 매장 검색과 예약, 혜택까지 한번에 확인할 수 있다. 현장에서는 페이스페이로 1초 만에 결제한 뒤, 결제 후 자동 적립과 쿠폰 발급, 재방문 예약까지 이어간다. 최근 금융사들의 보안 사고가 이어지고 있는 가운데, 토스는 얼굴인식 결제에 다층 보안 기술 등을 활용해 개인정보 유출을 원천 차단했다고 설명했다. 사내 화이트해커팀을 통해 가능한 보안 취약점을 확인하고 보완하는 과정도 거치고 있다. 최 TPO 는 ""원본을 복구할 수 없도록 암호화해서 저장하고 있기에 해킹이 돼서 유출이 된다고 가정하더라도 원본의 특징점을 복원할 수 없다""며 ""모든 데이터는 망분리 환경에 암호화돼서 저장하기에 전체 시스템을 해킹하는 것이 아니면 원본 데이터 취득이 거의 불가능하다""고 말했다. 이 밖에 페이스페이에는 ▲실제 사람 여부를 확인하는 '라이브니스' ▲얼굴 변화에 강인하고 유사 얼굴을 정밀하게 구분하는 '페이셜 레코그니션 모델' ▲이상거래탐지시스템( FDS ) 등 다양한 보안 기술이 적용됐다. 페이스페이에 대해 개인정보보호위원회의 사전적정성 검토도 받았다. 토스 간편결제 사업을 총괄하는 오규인 부사장은 ""페이스페이는 단순한 결제 수단을 넘어 오프라인 여정 전체를 바꾸는 중요한 연결고리""라며 ""토스앱 사용자 전체가 페이스페이를 사용하게 되는 것을 목표로 삼고 있다""고 말했다."
이억원 “생산부문 자금 공급 금융 과감한 방향 전환 필요”,https://n.news.naver.com/mnews/article/016/0002522972,"국회 정무위원회 인사청문회 금융당국 조직개편 두고 한때 파행 “철거반장이냐” vs “정해지지 않아” 이억원 금융위원장 후보자가 2일 서울 여의도 국회 정무위원회에서 열린 인사청문회에 출석해 있다.  [연합] 이억원 금융위원장 후보자는 2일 “미래를 이끌어 갈 생산적 부문으로의 원활한 자금 공급을 위한 금융 분야의 과감한 방향 전환이 필요하다”고 강조했다. 이 후보자는 이날 국회 정무위원회 인사청문회에서 모두발언을 통해 “지속가능한 성장을 위한 경제 전반의 혁신과 이를 선도하고 뒷받침해 나갈 금융의 역할이 시급한 시점”이라며 이같이 밝혔다. 그는 “무거운 책임감을 가지고 이 자리에 섰다”고 운을 떼고는 “최근 우리 경제는 인구구조의 변화, 생산성 정체 등에 따라 성장잠재력이 저하되는 모습이고 지정학적 리스크, 통상환경의 변화, 높은 가계부채 수준, 주력산업의 경쟁력 저하 등 대내 여건도 녹록지 않다”고 지적했다. 이 후보자는 다섯 가지 정책 방향으로 ▷생산적 영역으로 자금 공급 확대 ▷공정하고 활력 있는 자본시장 조성 ▷취약계층의 과도한 채무 부담 완화와 금융 접근성 확대 ▷금융소비자 보호체계 강화 ▷금융시장 안정 등을 제시하며 “금융위원장이라는 중책을 맡겨 준다면 이러한 여건에 대응해 금융이 제대로 된 역할을 할 수 있도록 정책을 추진해 나가겠다”고 말했다. 이날 청문회에서는 홈플러스 사태, 삼부토건 주가조작 사건, 주식양도세 등 세제 개편, 디지털자산기본법 추진 등 주요 현안에 대한 질의가 이뤄졌다. 이 후보자는 먼저 홈플러스 사태와 관련 금융감독원의 즉각적인 제재가 필요하다는 김남근 더불어민주당 의원의 지적에 “ CP (기업어음), 전단채 문제 같은 경우 사기적 부정행위와 관련해 금감원에서 검찰로 넘겨 검찰에서 수사가 진행이 된 것으로 알고 있고 자본시장법 위반사항에 대해서는 지금 금감원이 조사를 하고 있다”면서도 “아직 수사 중인 사안”이라고 즉답을 피했다. 금감원의 향후 제재 수위에 대해서도 “금감원에서 위법행위의 위중을 보고 어떤 수준을 결정할 것이고 최종적으로는 증권선물위원회에서 그에 상응하는 제재 수준이 결정될 것”이라고만 했다. 그는 삼부토건 주가조작 사건에 대해 “특검에서 수사가 진행 중인 사안이기에 언급하는 것은 적절하지 않다”면서도 “특검에서 결과가 나오면 그 결과에 맞춰 할 일을 다 하겠다. 자본시장의 감시 시스템이 작동해야 결국 사람들이 이런 장난을 치는 게 안 된다고 믿기에 신속 적발을 1단계로 하고 그 취지와 시스템이 얼마나 부합하는지 살펴보겠다”고 했다. 이 후보자는 디지털 금융시장의 주권 확보와 관련해 “새로운 혁신이나 부가가치, 새로운 산업으로 연결될 수 있는 부분을 어떻게 찾아야 할지 잘 새기겠다”면서 “스테이블코인, 이더리움 등을 한국적인 현실에서 대체할 수 있는 것, 블록체인 기술과 관련해 관계부처와 협의해 보도록 하겠다”고 했다. 이 후보자의 강남 아파트 보유도 도마에 올랐다. 그는 갭투자(전세 끼고 매매) 의혹과 관련해 사전에 개발 정보를 입수한 적이 있냐는 박범계 더불어민주당 의원의 질의에 “전혀 없다”면서 “평생 집 한 채였다. 해외에 나갈 때 그동안 모은 돈을 더해 형편에 맞게 두 번 (집을) 옮겼다. 지금 살고 있고 앞으로도 계속 살 것”이라고 답했다. 다만 ‘도덕적 비난 가능성에 대해 다소나마 미안하지는 않나’는 지적에는 “국민 눈높이에서 보면 그런 부분도 있을 수 있다는 점 잘 알고 있다”고 했다. 사외이사 재직 관련 지적에 대해선 “공직자윤리위원회 취업심사를 받아서 근무했다. 중복 근무하지 않았고 보수는 회사의 내부 규제에 따라 받았다”고 설명했다. 이날 청문회는 금융당국 조직개편을 두고 여야 의원이 충돌하면서 한때 파행되기도 했다. 특히 정부조직법 개편안을 오는 25일 본회의에서 처리하는 것으로 뜻을 모았다고 전해지자 야당 의원들은 강하게 반발했다. 여댱 의원들은 25일 본회의 처리 여부가 정해지지 않았으며 정부가 여당을 충분히 설득하는 절차가 있을 것이라고 설명했다. 국회 정무위 국민의힘 간사인 강민국 의원은 이날 이 후보자에 대한 인사청문회에 앞서 “금융위원장 인사청문을 앞두고 바로 전날 금융위 해체안을 논의했다고 하니 도저히 이해할 수 없다”면서 “이억원 후보자가 건물을 철거하기 위해 철거반장으로 온 거냐”고 말했다. 이에 대해 정무위 여당 간사인 강준현 더불어민주당 의원은 “25일 국회 처리하겠다는 일정에 대해 논의하지 않았고 국정기획위 안에 나온 금융위 분리 문제를 다룬 것”이라며 “당장 법이 개정되는 것이 아니고 정무위가 심사하는 절차가 있을 것”이라고 설명했다. 김은희·김벼리 기자"
